"SeqGlbPar","Pcte","Parametro","PorEmpresa","Unico","CampoListar","Instrucao","Campo1","Campo2","Campo3","Campo4","Campo5","Campo6","Numero1","Numero2","Numero3","Numero4","Numero5","Numero6","Data1","Data2","Data3","Data4","Data5","Data6","Literal1","Literal2","Literal3","Literal4","Literal5","Literal6","Literal7","Literal8","Literal9","Literal10","DtaAlteracao","UsuAlteracao","CampoListar2","SimNao1","SimNao2","SimNao3","SimNao4","SimNao5","SimNao6","SimNao7","SimNao8","SimNao9","SimNao10","Campo1Sql","Campo2Sql","Campo3Sql","Campo4Sql","Campo5Sql","Campo6Sql"
"1","","Responsavel Técnico","0","0","LITERAL1","","","","","","","","","","","","","","","","","","","","Nome!","","","","","","","","","","31/05/2012 00:00:00","VTCCONS","","","","","","","","","","","","0","0","0","0","0","0"
"2","","Imp Green System","0","0","LITERAL1","","Tipo","","","","","","","","","","","","","","","","","","","","","","","","","","","","05/02/2016 00:00:00","VTCCONS","","","","","","","","","","","","0","0","0","0","0","0"
"3","","Consórcio","1","0","CAMPO1","","Marca","","","","","","","","","","","","","","","","","","Modelo!","","","","","","","","","","13/04/2016 00:00:00","VTCCONS","","","","","","","","","","","","0","0","0","0","0","0"
"4","","Política de comissão","1","0","","","","","","","","","","","","","","","","","","","","","!*Linha","*Percentual","","","","","","","","","31/05/2016 00:00:00","VTCCONS","","","","","","","","","","","","0","0","0","0","0","0"
"5","","ProdutoSISDIA","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26/12/2016 00:00:00","VTCCONS","","","","","","","","","","","","0","0","0","0","0","0"
"6","","Status Pessoa(Depto)","0","0","NUMERO1","","","","","","","","Qtde Meses (Máq)","Qtde Meses (Peças)","Qtde Meses (Serviço)","Qtde Meses (Equip)","","","","","","","","","","","","","","","","","","","22/03/2018 00:00:00","VTCCONS","","","","","","","","","","","","0","0","0","0","0","0"
"7","","Equipamentos","0","0","CAMPO1","","Marca","","","","","","","","","","","","","","","","","","Modelo!","Família!","","","","","","","","","20/03/2018 00:00:00","VTCCONS","LITERAL1","Revisado?","","","","","","","","","","1","0","0","0","0","0"
"8","","Campanha de Incentiv","0","0","LITERAL1","","","","","","","","Valor$","","","","","","","","","","","","Tipo de Incetivo","Nome do Incetivo","","","","","","","","","03/07/2019 00:00:00","DIEGO.MARQUE","LITERAL2","","","","","","","","","","","0","0","0","0","0","0"
"9","","Alçada","0","0","","","","","","","","","Valor","","","","","","","","","","","","Tipo","","","","","","","","","","09/07/2019 00:00:00","DIEGO.MARQUE","","","","","","","","","","","","0","0","0","0","0","0"
"10","","Retail","0","0","","","","","","","","","Valor","","","","","","","","","","","","Tipo","","","","","","","","","","09/07/2019 00:00:00","DIEGO.MARQUE","","","","","","","","","","","","0","0","0","0","0","0"
