"SeqGlbPar","Campo","SeqPropriLista","Lista"
"2","C1","1","Plantadora de Cana"
"2","C1","3","Transbordo"
"2","C1","4","Distribuidora Cana"
"3","C1","1","John Deere"
"3","C2","1","John Deere"
"26","C1","1","1) Monitoramento"
"26","C1","2","2) Prospecção"
"26","C1","3","3) Oportunidade"
"26","C1","4","4) Pedido"
"26","C1","5","5) Faturado"
"26","C1","6","6) Desistiu Compra"
"26","C1","7","7) Venda Perdida"
"26","C1","8","8) Venda Cancelada"
"27","C1","1","Imp Green System"
"27","C1","2","Consórcio"
"27","C1","3","Tratores"
"27","C1","4","Implementos"
"27","C1","5","Colheitadeira grãos"
"27","C1","6","Plantadeira"
"27","C1","7","Colhedora de cana"
"27","C1","8","Agricultura precisão"
"27","C1","9","Pulverizador"
"27","C1","10","Plataforma adicional"
"9401","C6","1","2014"
"9401","C6","2","2013"
"9401","C6","3","2012"
"9401","C6","4","2011"
"9401","C6","5","2010"
"9401","C6","6","2009"
"9401","C6","7","2008"
"9401","C6","8","2007"
"9401","C6","9","2006"
"9401","C6","10","2005"
"9401","C6","11","2004"
"9401","C6","12","2003"
"9401","C6","13","2002"
"9401","C6","14","2001"
"9401","C6","15","2000"
"9401","C6","16","1999"
"9401","C6","17","1998"
"9401","C6","18","1997"
"9401","C6","19","1996"
"9401","C6","20","1995"
"9401","C6","21","<1995"
"9401","C6","22","< 2000"
"9401","C6","23","2015"
"9401","C6","47","2025"
"9401","C6","48","2024"
"9401","C6","49","2023"
"9401","C6","50","2022"
"9401","C6","51","2021"
"9401","C6","52","2020"
"9401","C6","53","2019"
"9401","C6","54","2018"
"9401","C6","55","2017"
"9401","C6","56","2016"
"9403","C1","1","Eucalipto"
"9403","C1","3","Cebola"
"9403","C1","4","Cana"
"9403","C1","5","Café"
"9403","C1","6","Banana"
"9403","C1","7","Arroz"
"9403","C1","8","Amendoim"
"9403","C1","9","Algodão"
"9403","C1","10","Abacaxi"
"9403","C1","22","Gado de Corte"
"9403","C1","24","Leite"
"9403","C1","26","Goiaba"
"9403","C1","27","Feijão"
"9403","C1","28","Laranja"
"9403","C2","3","Grãos"
