"Motivo","Descricao","SeqMotivo","Link"
"Agrofy","Agrofy","32",""
"Anuncios","Anuncios","7",""
"BI CNAE","BI CNAE","46",""
"Call Now","MF Rural","44",""
"Colorado Conecta","Colorado Conecta","23",""
"Convite","Convite","1",""
"EEmovel","EEmovel","40",""
"Email Mkt","Email Mkt","9",""
"Eventos","Eventos","4",""
"Externo","Externo","3",""
"Facebook","Facebook","13",""
"Facebook Anúncio","Facebook Anúncio","27",""
"Google anúncio","Google anúncio","29",""
"Hotsite","Hotsite","28",""
"Indicacao","Indicacao","5",""
"Instagram","Instagram","12",""
"Instagram Anúncio","Instagram Anúncio","25",""
"Instagram Orgânico","Instagram Orgânico","26",""
"Ja Conhece","Ja Conhece","2",""
"JD Conecta","John Deere Conecta","21",""
"John Deere","John Deere","35",""
"Landing Page","Landing Page","15",""
"Linked in Orgânico","Linked in Orgânico","24",""
"Meta","Meta","47",""
"MF Rural","Call Now","45",""
"OLX","OLX","20",""
"Pesq Satsfyd","Pesq Satsfyd","6",""
"PopAgro","PopAgro ","42",""
"Prospecção Ativa","Prospecção Ativa","39",""
"Rádio","Rádio","18",""
"Randon","Randon","34",""
"RD Tallos","RD Tallos","41",""
"SAC","SAC","33",""
"Show Room","Show Room","43",""
"Site","Site","14",""
"Site Arremaq","Site Arremaq","36",""
"Site Parceiros","Site Parceiros","22",""
"Site TR e CA","Site TR e CA","38",""
"SMS","SMS","10",""
"TV","TV","19",""
"Visita","Visita","8",""
"Whats App","Whats App","16",""
"Whats App Prospecção","Whats App Prospecção","31",""
"Youtube","Youtube","17",""
"Youtube Orgânico","Youtube Orgânico","30",""
