"CodModelo","ModoSimples","TipoObj","ChaveObj","PosLeft","PosTop","IndCor","Dados","IndMudanca"
"1","0","ACAO","2","650","140","0","","1"
"1","0","ACAO","3","650","496","1","","1"
"3","0","ACAO","562","1450","140","-1","","1"
"3","0","ACAO","566","1450","140","-1","","1"
"3","0","ACAO","619","1450","140","-1","","1"
"3","0","ACAO","940025","1450","140","-1","","1"
"3","0","ACAO","940027","650","140","-1","","1"
"3","0","ACAO","940030","650","140","-1","","1"
"3","0","ACAO","940031","1450","140","-1","","1"
"3","0","RES","53","70","210","-1","","1"
"3","0","RES","54","70","496","-1","","1"
"3","0","RES","66","70","553","-1","","1"
"3","0","RES","127","70","267","-1","","1"
"3","0","RES","2074","70","60","-1","","1"
"7","0","ACAO","33","7050","120","0","","1"
"7","0","ACAO","34","7050","466","1","","1"
"7","0","ACAO","35","2250","120","2","","1"
"7","0","ACAO","37","650","120","3","","1"
"7","0","ACAO","38","5450","120","4","","1"
"7","0","ACAO","39","650","378","5","","1"
"7","0","ACAO","40","11050","120","6","","1"
"7","0","ACAO","41","4650","120","7","","1"
"7","0","ACAO","43","4650","938","8","","1"
"7","0","ACAO","44","8650","120","9","","1"
"7","0","ACAO","45","9450","120","10","","1"
"7","0","ACAO","46","650","768","11","","1"
"7","0","ACAO","47","9450","452","12","","1"
"7","0","ACAO","48","650","1202","13","","1"
"7","0","ACAO","49","4650","1416","14","","1"
"7","0","ACAO","50","650","1460","0","","1"
"7","0","ACAO","51","4650","1788","1","","1"
"7","0","ACAO","53","650","2486","2","","1"
"7","0","ACAO","75","650","2788","3","","1"
"7","0","ACAO","76","5450","610","4","","1"
"7","0","ACAO","77","650","3156","5","","1"
"7","0","ACAO","79","650","3694","6","","1"
"7","0","ACAO","84","650","3908","7","","1"
"7","0","ACAO","85","650","4210","8","","1"
"7","0","ACAO","86","650","4468","9","","1"
"7","0","ACAO","87","650","4726","10","","1"
"7","0","ACAO","88","650","4984","11","","1"
"7","0","ACAO","89","7050","1118","12","","1"
"7","0","ACAO","90","650","5286","13","","1"
"7","0","ACAO","91","650","5544","14","","1"
"7","0","ACAO","92","650","5802","0","","1"
"7","0","ACAO","93","650","6060","1","","1"
"7","0","ACAO","96","9450","780","2","","1"
"7","0","ACAO","98","650","6318","3","","1"
"7","0","ACAO","99","650","6576","4","","1"
"7","0","ACAO","100","3850","120","5","","1"
"7","0","ACAO","107","650","6834","6","","1"
"7","0","ACAO","115","4650","2134","7","","1"
"7","0","ACAO","126","3850","422","8","","1"
"7","0","ACAO","135","4650","2436","9","","1"
"7","0","ACAO","136","650","7092","10","","1"
"7","0","ACAO","137","4650","2842","11","","1"
"7","0","ACAO","139","650","7420","12","","1"
"7","0","ACAO","141","650","7810","13","","1"
"7","0","ACAO","157","6250","120","14","","1"
"7","0","ACAO","159","650","120","0","","1"
"7","0","ACAO","160","1450","120","1","","1"
"7","0","ACAO","175","1450","378","2","","1"
"7","0","ACAO","188","3050","120","3","","1"
"7","0","ACAO","215","5450","868","4","","1"
"7","0","ACAO","216","1450","768","5","","1"
"7","0","ACAO","217","1450","1070","6","","1"
"7","0","ACAO","218","1450","1372","7","","1"
"7","0","RES","570","70","60","-1","","1"
"7","0","RES","610","70","117","-1","","1"
"8","0","ACAO","54","1450","310","0","","1"
"8","0","ACAO","55","1450","1057","1","","1"
"8","0","ACAO","56","1450","1428","2","","1"
"8","0","ACAO","57","1450","1752","3","","1"
"8","0","ACAO","58","1450","2170","4","","1"
"8","0","ACAO","59","1450","2776","5","","1"
"8","0","ACAO","60","1450","3382","6","","1"
"8","0","ACAO","61","2250","170","7","","1"
"8","0","ACAO","65","2250","494","8","","1"
"8","0","ACAO","66","2250","959","9","","1"
"8","0","ACAO","67","2250","1330","10","","1"
"8","0","ACAO","68","2250","1654","11","","1"
"8","0","ACAO","69","2250","1978","12","","1"
"8","0","ACAO","70","2250","2302","13","","1"
"8","0","ACAO","71","2250","2673","14","","1"
"8","0","ACAO","72","2250","2997","0","","1"
"8","0","ACAO","73","2250","3368","1","","1"
"8","0","ACAO","74","3050","170","2","","1"
"8","0","ACAO","78","3050","541","3","","1"
"8","0","ACAO","109","3050","959","4","","1"
"8","0","ACAO","148","3050","1377","5","","1"
"8","0","CMPL:A Vista","313","1930","1759","3","","1"
"8","0","CMPL:À Vista","310","1930","1111","1","","1"
"8","0","CMPL:Agrega","337","2730","1013","9","","1"
"8","0","CMPL:Agrega e Frete","337","2730","1045","9","","1"
"8","0","CMPL:Banco","357","2730","3516","1","","1"
"8","0","CMPL:Banco","358","2730","3469","1","","1"
"8","0","CMPL:Cheque A Vista","487","1930","2412","4","","1"
"8","0","CMPL:Cheque Pré Datado","487","1930","2444","4","","1"
"8","0","CMPL:Com Entrega Técnica","344","2730","2032","12","","1"
"8","0","CMPL:Contabilidade","562","2730","689","8","","1"
"8","0","CMPL:Encerrado","311","1930","1158","1","","1"
"8","0","CMPL:Estoque","562","2730","721","8","","1"
"8","0","CMPL:Financ Colorado","310","1930","1143","1","","1"
"8","0","CMPL:Financ. Colorado","313","1930","1791","3","","1"
"8","0","CMPL:Financ. Colorado","357","2730","3548","1","","1"
"8","0","CMPL:Financ. Colorado","358","2730","3501","1","","1"
"8","0","CMPL:Financeiro","562","2730","753","8","","1"
"8","0","CMPL:Financiado","310","1930","1175","1","","1"
"8","0","CMPL:Financiamento","313","1930","1823","3","","1"
"8","0","CMPL:Frete","337","2730","1077","9","","1"
"8","0","CMPL:Não Atende","297","1930","317","0","","1"
"8","0","CMPL:Não Encontrado","297","1930","349","0","","1"
"8","0","CMPL:Outros","487","1930","2476","4","","1"
"8","0","CMPL:Pendente no Banco","317","1930","2271","4","","1"
"8","0","CMPL:Pendente no Cliente","317","1930","2303","4","","1"
"8","0","CMPL:Projeto Ñ Finalizado","317","1930","2335","4","","1"
"8","0","CMPL:Recurso Próprio","357","2730","3580","1","","1"
"8","0","CMPL:Recurso Próprio","358","2730","3533","1","","1"
"8","0","CMPL:Renegociável","311","1930","1190","1","","1"
"8","0","CMPL:Responsável Ausente","297","1930","381","0","","1"
"8","0","CMPL:Sem Entrega Técnica","344","2730","2064","12","","1"
"8","0","CMPL:Serviços","562","2730","785","8","","1"
"8","0","CMPL:TED","487","1930","2508","4","","1"
"8","0","CMPL:Telefone Errado","297","1930","413","0","","1"
"8","0","CMPL:Telefone Ocupado","297","1930","445","0","","1"
"8","0","CMPL:Venda Diretoria","385","3530","689","3","","1"
"8","0","CMPL:Venda Gerência","385","3530","721","3","","1"
"8","0","CMPL:Vendas","562","2730","817","8","","1"
"8","0","RES","128","70","40","-1","","1"
"8","0","RES","297","1680","317","0","","1"
"8","0","RES","299","1680","364","0","","1"
"8","0","RES","300","1680","458","0","","1"
"8","0","RES","301","1680","787","0","","1"
"8","0","RES","302","1680","646","0","","1"
"8","0","RES","303","1680","740","0","","1"
"8","0","RES","304","1680","505","0","","1"
"8","0","RES","305","1680","552","0","","1"
"8","0","RES","306","1680","599","0","","1"
"8","0","RES","307","1680","411","0","","1"
"8","0","RES","308","1680","693","0","","1"
"8","0","RES","309","1680","1064","1","","1"
"8","0","RES","310","1680","1111","1","","1"
"8","0","RES","311","1680","1158","1","","1"
"8","0","RES","312","1680","1806","3","","1"
"8","0","RES","313","1680","1759","3","","1"
"8","0","RES","314","1680","1853","3","","1"
"8","0","RES","315","1680","2318","4","","1"
"8","0","RES","316","1680","2224","4","","1"
"8","0","RES","317","1680","2271","4","","1"
"8","0","RES","318","1680","2365","4","","1"
"8","0","RES","319","1680","2506","4","","1"
"8","0","RES","321","1680","2924","5","","1"
"8","0","RES","322","1680","2971","5","","1"
"8","0","RES","323","1680","2783","5","","1"
"8","0","RES","324","1680","2877","5","","1"
"8","0","RES","325","1680","3112","5","","1"
"8","0","RES","326","2480","501","8","","1"
"8","0","RES","327","2480","595","8","","1"
"8","0","RES","329","2480","642","8","","1"
"8","0","RES","330","2480","548","8","","1"
"8","0","RES","331","1680","3483","6","","1"
"8","0","RES","332","1680","3389","6","","1"
"8","0","RES","333","1680","3436","6","","1"
"8","0","RES","334","2480","224","7","","1"
"8","0","RES","335","2480","177","7","","1"
"8","0","RES","336","2480","966","9","","1"
"8","0","RES","337","2480","1013","9","","1"
"8","0","RES","338","2480","1337","10","","1"
"8","0","RES","339","2480","1384","10","","1"
"8","0","RES","340","2480","1661","11","","1"
"8","0","RES","343","2480","1985","12","","1"
"8","0","RES","344","2480","2032","12","","1"
"8","0","RES","345","2480","2309","13","","1"
"8","0","RES","346","2480","2356","13","","1"
"8","0","RES","347","2480","2680","14","","1"
"8","0","RES","348","2480","2727","14","","1"
"8","0","RES","350","2480","1060","9","","1"
"8","0","RES","351","2480","3051","0","","1"
"8","0","RES","352","2480","3098","0","","1"
"8","0","RES","353","2480","3004","0","","1"
"8","0","RES","354","2480","3375","1","","1"
"8","0","RES","355","2480","3422","1","","1"
"8","0","RES","356","2480","3563","1","","1"
"8","0","RES","357","2480","3516","1","","1"
"8","0","RES","358","2480","3469","1","","1"
"8","0","RES","359","1680","1435","2","","1"
"8","0","RES","360","1680","1482","2","","1"
"8","0","RES","361","3280","271","2","","1"
"8","0","RES","362","3280","177","2","","1"
"8","0","RES","363","3280","224","2","","1"
"8","0","RES","365","2480","3610","1","","1"
"8","0","RES","373","1680","1900","3","","1"
"8","0","RES","381","3280","548","3","","1"
"8","0","RES","382","3280","595","3","","1"
"8","0","RES","383","3280","642","3","","1"
"8","0","RES","385","3280","689","3","","1"
"8","0","RES","457","1680","2830","5","","1"
"8","0","RES","463","2480","3704","1","","1"
"8","0","RES","487","1680","2412","4","","1"
"8","0","RES","488","2480","1708","11","","1"
"8","0","RES","494","3280","966","4","","1"
"8","0","RES","495","3280","1013","4","","1"
"8","0","RES","496","3280","1060","4","","1"
"8","0","RES","497","3280","1107","4","","1"
"8","0","RES","499","1680","2177","4","","1"
"8","0","RES","500","2480","2403","13","","1"
"8","0","RES","501","1680","3530","6","","1"
"8","0","RES","509","2480","3657","1","","1"
"8","0","RES","525","1680","3018","5","","1"
"8","0","RES","526","1680","2459","4","","1"
"8","0","RES","562","2480","689","8","","1"
"8","0","RES","670","3280","1384","5","","1"
"8","0","RES","907","3280","1431","5","","1"
"8","0","RES","908","1680","3065","5","","1"
"18","0","ACAO","227","631","89","0","","1"
"18","0","ACAO","228","1447","91","1","","1"
"18","0","ACAO","229","2282","114","2","","1"
"18","0","ACAO","230","2660","618","3","","9"
"18","0","CMPL:Com acordo","974","1970","238","0","","9"
"18","0","CMPL:Com acordo","980","2890","463","2","","9"
"18","0","CMPL:Não Atende","973","1968","39","0","","9"
"18","0","CMPL:Resp Ausente","973","1968","76","0","","9"
"18","0","CMPL:Sem acordo","974","1970","202","0","","9"
"18","0","CMPL:Sem acordo","980","2890","495","2","","9"
"18","0","CMPL:Tel Errado","973","1968","115","0","","9"
"18","0","CMPL:Tel Ocupado","973","1968","152","0","","9"
"18","0","RES","970","1688","254","0","","9"
"18","0","RES","971","1688","50","0","","9"
"18","0","RES","972","1688","101","0","","9"
"18","0","RES","973","1688","152","0","","9"
"18","0","RES","974","1688","203","0","","9"
"18","0","RES","975","2890","585","3","","9"
"18","0","RES","976","2890","632","3","","9"
"18","0","RES","977","2645","338","2","","9"
"18","0","RES","978","2645","385","2","","9"
"18","0","RES","979","2645","432","2","","9"
"18","0","RES","980","2645","479","2","","9"
"18","0","RES","981","2197","403","1","","9"
"18","0","RES","982","2195","304","1","","9"
"18","0","RES","983","2195","351","1","","9"
"26","0","ACAO","281","637","284","0","","9"
"26","0","ACAO","282","1307","367","1","","9"
"26","0","ACAO","283","1342","656","2","","9"
"26","0","ACAO","284","980","649","3","","9"
"26","0","RES","940392","70","60","-1","","9"
"32","0","ACAO","312","1366","899","-1","","1"
"32","0","ACAO","381","650","140","0","","9"
"32","0","ACAO","382","1431","451","-1","","1"
"32","0","ACAO","390","650","716","1","","9"
"32","0","ACAO","391","650","1278","2","","9"
"32","0","ACAO","394","1020","1531","-1","","1"
"32","0","ACAO","431","1431","407","-1","","1"
"32","0","RES","1612","350","525","-1","","1"
"32","0","RES","1613","350","590","-1","","1"
"32","0","RES","1640","350","460","-1","","1"
"32","0","RES","1643","350","10","-1","","1"
"32","0","RES","1722","350","70","-1","","1"
"32","0","RES:CLIENTE NO BALCAO","1639","350","200","-1","","1"
"32","0","RES:COMPRA RECENTE","1639","350","265","-1","","1"
"32","0","RES:CONTATO IMPOSSÍVEL","1639","350","330","-1","","1"
"32","0","RES:CONTATO RECENTE","1639","350","135","-1","","1"
"32","0","RES:OUTROS","1639","350","395","-1","","1"
"34","0","ACAO","382","650","140","0","","9"
"34","0","ACAO","393","2250","140","1","","9"
"34","0","ACAO","394","650","680","2","","9"
"34","0","ACAO","395","2250","506","3","","9"
"35","0","ACAO","397","650","140","0","","9"
"35","0","ACAO","577","1450","140","1","","9"
"35","0","ACAO","578","1450","1386","2","","9"
"35","0","ACAO","579","1450","1708","3","","9"
"35","0","ACAO","580","650","418","4","","9"
"35","0","ACAO","581","650","696","5","","9"
"35","0","ACAO","582","650","1018","6","","9"
"35","0","ACAO","583","1820","1071","-1","","1"
"35","0","ACAO","842","650","1296","7","","9"
"35","0","ACAO","843","650","1574","8","","9"
"35","0","RES","1929","70","60","-1","","1"
"35","0","RES","2452","1150","10","-1","","1"
"41","0","ACAO","63","12220","191","-1","","9"
"41","0","ACAO","375","15850","140","4","","9"
"41","0","ACAO","377","2250","140","0","","9"
"41","0","ACAO","593","6250","140","1","","9"
"41","0","ACAO","594","7050","140","3","","9"
"41","0","ACAO","595","7050","594","5","","9"
"41","0","ACAO","596","650","750","6","","9"
"41","0","ACAO","597","11850","140","7","","9"
"41","0","ACAO","598","650","1160","8","","9"
"41","0","ACAO","599","10250","140","9","","9"
"41","0","ACAO","600","7850","140","10","","9"
"41","0","ACAO","601","7850","866","11","","9"
"41","0","ACAO","602","12650","140","12","","9"
"41","0","ACAO","603","650","1570","13","","9"
"41","0","ACAO","604","12650","550","14","","9"
"41","0","ACAO","607","650","1936","0","","9"
"41","0","ACAO","608","650","140","2","","9"
"41","0","ACAO","609","1450","140","0","","9"
"41","0","ACAO","611","11050","140","1","","9"
"41","0","ACAO","612","9450","140","2","","9"
"41","0","ACAO","613","12500","198","-1","","9"
"41","0","ACAO","614","1300","198","-1","","9"
