"Pcte","Atributo","Lista"
"JDE","ATENDBLOQ","Férias"
"JDE","ATENDBLOQ","Folga"
"JDE","ATENDBLOQ","Licença Maternidade"
"JDE","ATENDBLOQ","Licença Médica"
"JDE","ATENDBLOQ","Licença Paternidade"
"JDE","ATENDBLOQ","Treinamento Externo"
"JDE","GRUPO","Concessionária"
"JDE","GRUPO","Ex-Funcionário"
"JDE","GRUPO","Fornecedor"
"JDE","GRUPO","Funcionário"
"JDE","TIPORELAC","Tio/Sobrinho"
"JDE","TPRECURSO","CG 1175"
"JDE","TPRECURSO","CG 9470"
"JDE","TPRECURSO","CGR 7660"
"JDE","TPRECURSO","PL 1107"
"JDE","TPRECURSO","PL 2113"
"JDE","TPRECURSO","PL DB50"
"JDE","TPRECURSO","TR 5303"
"JDE","TPRECURSO","TR 5603"
"JDE","TPRECURSO","TR 6110D"
"JDE","TPRECURSO","TR 7185J"
"JDE","TPRECURSO","TR 8245R"
