"CodProcesso","Acao","QtdeLimite"
"1","1",""
"1","2",""
"1","3",""
"5","12",""
"5","13",""
"5","14",""
"5","15",""
"5","16",""
"6","54",""
"6","55",""
"6","56",""
"6","58",""
"6","59",""
"6","60",""
"6","61",""
"6","65",""
"6","66",""
"6","68",""
"6","69",""
"6","70",""
"6","71",""
"6","73",""
"6","74",""
"6","78",""
"6","109",""
"6","116",""
"6","117",""
"6","124",""
"6","148",""
"6","253",""
"6","254",""
"6","255",""
"6","257",""
"6","258",""
"6","259",""
"6","260",""
"6","261",""
"6","262",""
"6","305",""
"6","306",""
"6","307",""
"6","313",""
"6","317",""
"6","362",""
"6","368",""
"6","369",""
"6","370",""
"6","371",""
"6","411",""
"6","439",""
"6","442",""
"6","448",""
"6","474",""
"6","492",""
"6","495",""
"6","497",""
"6","500",""
"6","501",""
"6","502",""
"6","503",""
"6","511",""
"6","514",""
"6","515",""
"6","516",""
"6","517",""
"6","519",""
"7","33",""
"7","34",""
"7","35",""
"7","36",""
"7","37",""
"7","38",""
"7","39",""
"7","40",""
"7","41",""
"7","42",""
"7","43",""
"7","44",""
"7","45",""
"7","46",""
"7","48",""
"7","49",""
"7","50",""
"7","51",""
"7","53",""
"7","75",""
"7","76",""
"7","77",""
"7","79",""
"7","84",""
"7","85",""
"7","86",""
"7","87",""
"7","88",""
"7","89",""
"7","90",""
"7","91",""
"7","92",""
"7","93",""
"7","96",""
"7","98",""
"7","99",""
"7","100",""
"7","101",""
"7","102",""
"7","107",""
"7","115",""
"7","126",""
"7","135",""
"7","136",""
"7","137",""
"7","139",""
"7","141",""
"7","144",""
"7","157",""
"7","159",""
"7","160",""
"7","175",""
"7","188",""
"7","215",""
"7","216",""
"7","217",""
"7","218",""
"7","219",""
"7","220",""
"7","221",""
"7","222",""
"7","223",""
"7","241",""
"7","242",""
"7","304",""
"7","311",""
"7","316",""
"7","318",""
"7","319",""
"7","320",""
"7","321",""
"7","328",""
"7","329",""
"7","330",""
"7","331",""
"7","336",""
"7","438",""
"7","443",""
"7","444",""
"7","461",""
"7","462",""
"7","463",""
"7","464",""
"7","465",""
"7","466",""
"7","467",""
"7","468",""
"7","479",""
"7","481",""
"7","489",""
"7","493",""
"7","496",""
"11","123",""
"12","108",""
"13","94",""
"13","95",""
"13","97",""
"13","128",""
"13","145",""
"13","146",""
"13","147",""
"13","151",""
"13","152",""
"13","153",""
"13","154",""
"13","155",""
"13","156",""
"13","384",""
"13","385",""
"13","386",""
"13","387",""
"13","388",""
"13","389",""
"13","434",""
"13","485",""
"13","486",""
"14","130",""
"14","131",""
"14","142",""
"14","143",""
"14","161",""
"14","162",""
"14","163",""
"14","164",""
"14","165",""
"14","166",""
"14","167",""
"14","168",""
"14","169",""
"14","170",""
"14","171",""
"14","172",""
"14","173",""
"14","176",""
"14","189",""
"14","190",""
"14","226",""
"14","250",""
"14","264",""
"14","308",""
"14","333",""
"14","337",""
"14","339",""
"14","340",""
"14","341",""
"14","342",""
"14","343",""
"14","344",""
"14","345",""
"14","346",""
"14","349",""
"14","350",""
"14","351",""
"14","366",""
"14","367",""
"14","469",""
"16","180",""
"16","181",""
"16","182",""
"16","183",""
"16","184",""
"16","185",""
"16","186",""
"17","179",""
"18","227",""
"18","228",""
"18","229",""
"18","230",""
"19","199",""
"19","200",""
"19","201",""
"19","202",""
"19","203",""
"19","205",""
"19","206",""
"19","207",""
"19","208",""
"19","209",""
"19","210",""
"19","211",""
"20","193",""
"20","194",""
"20","195",""
"20","196",""
"20","197",""
"20","243",""
"21","198",""
"21","232",""
"21","233",""
"21","234",""
"21","235",""
"21","236",""
"21","237",""
"21","238",""
"21","239",""
"21","240",""
"21","244",""
"21","245",""
"21","247",""
"21","248",""
"21","249",""
"22","178",""
"22","252",""
"23","272",""
"23","273",""
"23","275",""
"23","276",""
"23","277",""
"23","323",""
"23","324",""
"24","268",""
"24","269",""
"24","270",""
"24","271",""
"24","278",""
"24","279",""
"24","280",""
"24","286",""
"24","314",""
"24","352",""
"24","353",""
"24","354",""
"24","360",""
"25","265",""
"25","266",""
"25","267",""
"26","288",""
"27","290",""
"28","291",""
"28","292",""
"28","293",""
"28","294",""
"28","295",""
"29","299",""
"29","300",""
"29","301",""
"29","302",""
"29","303",""
"29","380",""
"29","425",""
"29","426",""
"29","428",""
"29","473",""
"29","475",""
"29","476",""
"29","477",""
"29","558",""
"29","559",""
"30","322",""
"30","325",""
"30","332",""
"30","359",""
"31","376",""
"32","381",""
"32","390",""
"33","312",""
"33","392",""
"33","478",""
"33","483",""
"34","382",""
"34","391",""
"34","393",""
"34","394",""
"34","395",""
"34","518",""
"34","869",""
"35","397",""
"35","398",""
"35","399",""
"35","400",""
"35","401",""
"35","404",""
"35","406",""
"35","407",""
"35","410",""
"35","577",""
"35","578",""
"35","579",""
"35","580",""
"35","581",""
"35","582",""
"35","842",""
"35","843",""
"37","47",""
"37","521",""
"37","522",""
"37","523",""
"37","524",""
"37","525",""
"37","526",""
"37","527",""
"37","528",""
"37","529",""
"37","530",""
"37","531",""
"37","532",""
"37","534",""
"37","535",""
"37","536",""
"37","537",""
"37","538",""
"37","540",""
"37","543",""
"37","546",""
"37","549",""
"37","554",""
"37","557",""
"37","583",""
"37","588",""
"37","589",""
"38","104",""
"38","544",""
"38","555",""
"39","871",""
"39","872",""
"39","873",""
"39","874",""
"39","875",""
"39","876",""
"39","877",""
"39","878",""
"39","879",""
"39","880",""
"39","881",""
"39","882",""
"39","883",""
"39","884",""
"39","885",""
"39","886",""
"39","887",""
"39","888",""
"39","889",""
"39","890",""
"39","891",""
"39","896",""
"39","901",""
"40","590",""
"40","591",""
"40","592",""
"41","375",""
"41","593",""
"41","594",""
"41","595",""
"41","596",""
"41","597",""
"41","598",""
"41","599",""
"41","600",""
"41","601",""
"41","602",""
"41","603",""
"41","604",""
"41","607",""
"41","608",""
"41","609",""
"41","611",""
"41","612",""
"41","616",""
"41","782",""
"41","783",""
"41","784",""
"42","614",""
"44","617",""
"44","903",""
"45","626",""
"45","627",""
"45","628",""
"45","629",""
"45","630",""
"45","631",""
"45","632",""
"45","633",""
"45","634",""
"45","635",""
"45","636",""
"45","637",""
"45","638",""
"45","639",""
"45","640",""
"45","641",""
"45","642",""
"45","643",""
"45","644",""
"45","645",""
"45","646",""
"45","647",""
"45","648",""
"45","649",""
"45","650",""
"45","651",""
"45","652",""
"45","653",""
"45","654",""
"45","655",""
"45","656",""
"45","657",""
"45","658",""
"45","659",""
"45","660",""
"45","661",""
"45","662",""
"45","663",""
"45","664",""
"45","665",""
"45","666",""
"45","667",""
"45","668",""
"45","714",""
"45","715",""
"45","716",""
"45","717",""
"45","785",""
"46","670",""
"46","671",""
"46","672",""
"46","673",""
"46","674",""
"46","675",""
"46","676",""
"46","677",""
"46","678",""
"46","679",""
"46","680",""
"46","682",""
"46","683",""
"46","718",""
"46","719",""
"46","720",""
"46","721",""
"46","722",""
"46","723",""
"46","774",""
"46","902",""
"47","684",""
"47","685",""
"47","686",""
"47","687",""
"47","688",""
"47","689",""
"47","690",""
"47","691",""
"47","692",""
"47","693",""
"47","694",""
"47","695",""
"47","696",""
"47","697",""
"47","698",""
"47","699",""
"47","700",""
"47","701",""
"47","702",""
"47","703",""
"47","704",""
"47","705",""
"47","706",""
"47","708",""
"47","709",""
"47","710",""
"47","711",""
"47","712",""
"47","713",""
"47","846",""
"48","724",""
"48","725",""
"48","726",""
"48","727",""
"48","728",""
"48","729",""
"48","730",""
"48","731",""
"48","732",""
"48","733",""
"48","734",""
"48","735",""
"48","736",""
"48","737",""
"48","738",""
"48","739",""
"48","740",""
"48","741",""
"48","742",""
"48","743",""
"48","744",""
"48","745",""
"48","746",""
"48","747",""
"48","748",""
"48","749",""
"48","750",""
"48","752",""
"48","753",""
"48","754",""
"48","755",""
"48","756",""
"49","757",""
"49","758",""
"49","759",""
"49","760",""
"49","761",""
"49","762",""
"49","763",""
"49","764",""
"49","765",""
"49","766",""
"49","775",""
"49","776",""
"49","777",""
"49","778",""
"49","779",""
"49","780",""
"50","377",""
"50","625",""
"50","707",""
"50","767",""
"50","768",""
"50","769",""
"50","770",""
"50","771",""
"50","772",""
"50","800",""
"50","801",""
"50","804",""
"50","805",""
"50","806",""
"50","807",""
"50","808",""
"50","809",""
"50","810",""
"50","811",""
"50","812",""
"50","813",""
"50","814",""
"50","815",""
"50","816",""
"50","817",""
"50","818",""
"50","819",""
"50","820",""
"50","821",""
"50","822",""
"50","823",""
"50","824",""
"50","825",""
"50","841",""
"50","848",""
"50","849",""
"50","850",""
"50","851",""
"50","852",""
"50","853",""
"50","854",""
"50","855",""
"50","857",""
"50","858",""
"50","859",""
"50","860",""
"50","861",""
"50","862",""
"50","863",""
"50","864",""
"50","870",""
"50","892",""
"50","893",""
"50","894",""
"50","895",""
"50","897",""
"50","898",""
"50","899",""
"50","900",""
"50","905",""
"50","906",""
"50","907",""
"50","908",""
"50","909",""
"51","826",""
"51","827",""
"51","828",""
"51","829",""
"51","830",""
"51","831",""
"51","832",""
"51","833",""
"51","834",""
"51","835",""
"51","836",""
"51","837",""
"51","838",""
"51","839",""
"51","840",""
"52","856",""
"52","866",""
"52","868",""
"9400","52",""
"9400","940016",""
"9401","940003",""
"9401","940005",""
"9401","940007",""
"9401","940009",""
"9401","940010",""
"9401","940011",""
"9401","940013",""
"9401","940015",""
"9401","940062",""
"9401","940064",""
"9401","940065",""
"9401","940066",""
"9404","940018",""
"9404","940022",""
"9404","940023",""
"9404","940024",""
"9405","940036",""
"9405","940056",""
"9405","940057",""
"9405","940058",""
"9405","940059",""
"9405","940060",""
"9405","940061",""
"9406","940000",""
"9407","940017",""
"9407","940055",""
"9408","63",""
"9408","149",""
"9408","150",""
"9408","285",""
"9408","334",""
"9408","335",""
"9408","396",""
"9408","403",""
"9408","408",""
"9408","409",""
"9408","435",""
"9408","436",""
"9408","437",""
"9408","456",""
"9408","457",""
"9408","545",""
"9408","561",""
"9408","562",""
"9408","563",""
"9408","564",""
"9408","565",""
"9408","566",""
"9408","567",""
"9408","568",""
"9408","569",""
"9408","570",""
"9408","619",""
"9408","620",""
"9408","621",""
"9408","940002",""
"9408","940006",""
"9408","940012",""
"9408","940025",""
"9408","940026",""
"9408","940027",""
"9408","940028",""
"9408","940029",""
"9408","940030",""
"9408","940031",""
"9408","940032",""
"9408","940077",""
"9409","940052",""
"9410","62",""
"9410","82",""
"9411","940001",""
"9412","940020",""
"9413","940070",""
"9413","940071",""
"9413","940073",""
"9413","940074",""
"9413","940075",""
"9413","940076",""
"9413","940078",""
