"CodProcesso","Fase","FaseOrdem","Padrao","Marco"
"6","Análise","23","","2.Pedido.Analise"
"6","Apresentação","5","","1.Negoc.Pedido"
"6","Aprovação","20","","2.Pedido.Analise"
"6","Autorizacao Fat.","32","","3.Analise.Faturado"
"6","Cancelamento","89","","4.Faturado.Finalizad"
"6","Definição de Equip","25","","2.Pedido.Analise"
"6","Entrega","51","","4.Faturado.Finalizad"
"6","Entrega Tecnica","52","","4.Faturado.Finalizad"
"6","Faturamento","35","","3.Analise.Faturado"
"6","Finalizado","97","","4.Faturado.Finalizad"
"6","Montagem","99","",""
"6","Negociação","10","1","1.Negoc.Pedido"
"6","Pedido da Venda","15","","1.Negoc.Pedido"
"6","Pós Entrega","98","",""
"6","Pré Análise","22","","2.Pedido.Analise"
"6","Preparação","28","","3.Analise.Faturado"
"6","Recebimento","31","","3.Analise.Faturado"
"7","Análise","23","","2.Pedido.Analise"
"7","Apresentação","5","0","1.Negoc.Pedido"
"7","Aprovação","20","","2.Pedido.Analise"
"7","Autorizacao Fat.","32","","3.Analise.Faturado"
"7","Cancelamento","89","","4.Faturado.Finalizad"
"7","Concluido","90","","4.Faturado.Finalizad"
"7","Definição de Equip","25","","2.Pedido.Analise"
"7","Entrega","99","","4.Faturado.Finalizad"
"7","Entrega Fisica","51","","4.Faturado.Finalizad"
"7","Entrega Tecnica","52","","4.Faturado.Finalizad"
"7","Faturamento","35","","3.Analise.Faturado"
"7","Negociação","10","1","1.Negoc.Pedido"
"7","Pedido de Venda","15","","1.Negoc.Pedido"
"7","Pós Entrega","98","","4.Faturado.Finalizad"
"7","Pré Análise","21","","2.Pedido.Analise"
"7","Preparação Maq","28","","3.Analise.Faturado"
"13","Cancelamento","60","",""
"13","Entrega","45","",""
"13","Faturamento ","35","",""
"13","Negociação","5","1",""
"13","Pedido de Venda","10","",""
"14","Análise","23","","2.Pedido.Analise"
"14","Apresentação","5","0","1.Negoc.Pedido"
"14","Aprovação","20","","2.Pedido.Analise"
"14","Autorização de Fat","32","","3.Analise.Faturado"
"14","Cancelamento","90","","4.Faturado.Finalizad"
"14","Definição de Equip","25","","2.Pedido.Analise"
"14","Entrega","50","","4.Faturado.Finalizad"
"14","Entrega Física","51","","4.Faturado.Finalizad"
"14","Entrega Técnica","52","","4.Faturado.Finalizad"
"14","Faturamento","35","","3.Analise.Faturado"
"14","Negociação","10","1","1.Negoc.Pedido"
"14","Pedido de Venda","19","","1.Negoc.Pedido"
"14","Pós Entrega","60","",""
"14","Preparaçãio","28","","3.Analise.Faturado"
"14","Preparação Maq","99","",""
"16","Apresentação","5","","1.Negoc.Pedido"
"16","Aprovação","20","","2.Pedido.Analise"
"16","Autorização Fat","30","","3.Analise.Faturado"
"16","Faturamento","35","","3.Analise.Faturado"
"16","Negociação","10","1","1.Negoc.Pedido"
"16","Pedido de Venda","15","","1.Negoc.Pedido"
"17","Monitoramento","20","1",""
"17","Prospecção","10","",""
"18","COBRANÇA","10","1",""
"18","COBRANÇA JURÍDICA","30","",""
"18","NEGATIVAÇÃO","20","",""
"18","PERDA","40","",""
"19","Análise","23","",""
"19","Apresentação","5","1",""
"19","Aprovação","20","",""
"19","Autorização Fat.","32","",""
"19","Cancelamento","90","",""
"19","Entrega","50","",""
"19","Faturamento","35","",""
"19","Negociação","10","",""
"19","Preparação Máq.","40","",""
"21","Apresentação","10","",""
"21","Aprovação","30","",""
"21","Autorizar Fatur","60","",""
"21","Cancelamento","80","",""
"21","Entrega","70","",""
"21","Faturamento","65","",""
"21","Negociação","20","1",""
"21","Pós Entrega","75","",""
