"CodProcesso","PerspOrdem","Perspectiva","QtdDiaPro"
"6","10","Frio",""
"6","50","Morno",""
"6","90","Quente",""
"7","10","Frio",""
"7","50","Morno",""
"7","90","Quente",""
"16","10","Frio",""
"16","50","Morno",""
"16","90","Quente",""
"17","10","Frio",""
"17","50","Morno",""
"17","90","Quente",""
"19","10","Frio",""
"19","50","Morno",""
"19","90","Quente",""
"21","10","Frio",""
"21","50","Morno",""
"21","90","Quente",""
"23","10","Frio",""
"23","50","Morno",""
"23","90","Quente",""
"27","10","Frio",""
"27","50","Morno",""
"27","90","Quente",""
"31","10","Frio","60,00"
"31","50","Morno","30,00"
"31","90","Quente","15,00"
"34","10","Frio","60,00"
"34","50","Morno","30,00"
"34","90","Quente","15,00"
"37","25","Baixa",""
"37","50","Média",""
"37","75","Alta",""
"37","99","Muito Alta",""
"41","10","Frio","60,00"
"41","50","Morno","30,00"
"41","90","Quente","15,00"
"42","10","FRIO",""
"42","50","MORNO",""
"42","90","QUENTE",""
"50","10","Frio","60,00"
"50","50","Morno","30,00"
"50","90","Quente","15,00"
"52","10","Frio","15,00"
"52","50","Morno","30,00"
"52","90","Quente","60,00"
"9400","10","Frio",""
"9400","50","Morno",""
"9400","90","Quente",""
"9401","10","Frio",""
"9401","50","Morno",""
"9401","90","Quente",""
"9403","10","Frio",""
"9403","50","Morno",""
"9403","90","Quente",""
"9406","10","Frio",""
"9406","50","Morno",""
"9406","90","Quente",""
"9409","10","Frio",""
"9409","50","Morno",""
"9409","90","Quente",""
"9410","10","Frio",""
"9410","50","Morno",""
"9410","90","Quente",""
"9413","10","Frio",""
"9413","50","Morno",""
"9413","90","Quente",""
