"CodProcesso","Status","StatusOrdem","Padrao"
"6","CANCELADO","70",""
"6","CONCLUIDO","15",""
"6","DESISTIU DA COMPRA","65",""
"6","EM ABERTO","5","1"
"6","EM ANDAMENTO","7",""
"6","ENTREGUE","50",""
"6","FAT AUTORIZADO","40",""
"6","FATURADO","45",""
"6","MUDOU O INTERESSE","68",""
"6","PEDIDO REALIZADO","20",""
"6","PENDENTE","9",""
"6","RECEBIDO FINANC","55",""
"6","VENDA PERDIDA","60",""
"7","CANCELADO","70",""
"7","CONCLUIDO","15",""
"7","DESISTIU DA COMPRA","65",""
"7","EM ABERTO","5","1"
"7","EM ANDAMENTO","7",""
"7","ENTREGA","50",""
"7","FAT AUTORIZADO","40",""
"7","FATURADO","45",""
"7","MUDOU O INTERESSE","68",""
"7","PEDIDO REALIZADO","20",""
"7","PENDENTE","9",""
"7","VENDA PERDIDA","60",""
"7","VENDA REALIZADA","48",""
"13","CANCELADO","45",""
"13","DESISTIU DA COMPRA","35",""
"13","EM ABERTO","5",""
"13","EM ANDAMENTO","10","1"
"13","ENTREGA","25",""
"13","FATURADO","20",""
"13","PEDIDO REALIZADO","15",""
"13","VENDA PERDIDA","30",""
"14","CANCELADO","70",""
"14","DESISTIU DA COMPRA","65",""
"14","EM ABERTO","5","0"
"14","EM ANDAMENTO","7",""
"14","ENTREGA","50",""
"14","FAT AUTORIZADO","40",""
"14","FATURADO","45",""
"14","MUDOU O INTERESSE","68",""
"14","PEDIDO REALIZADO","10",""
"14","PENDENTE","9",""
"14","VENDA PERDIDA","60",""
"14","VENDA REALIZADA","90",""
"16","CANCELADO","70",""
"16","DESISTIU DA COMPRA","68",""
"16","EM ABERTO","5",""
"16","EM ANDAMENTO","7",""
"16","ENTREGA","60",""
"16","FAT AUTORIZADO","45",""
"16","FATURADO","48",""
"16","MUDOU INTERESSE","69",""
"16","PEDIDO REALIZADO","40",""
"16","PENDENTE","10",""
"16","VENDA PERDIDA","65",""
"17","CANCELADO","90",""
"17","DESISTIU DA COMPRA","80",""
"17","EM ABERTO","50","0"
"17","EM ANDAMENTO","55","1"
"17","VENDA PERDIDA","70",""
"17","VENDA REALIZADA","60",""
"18","Cancelado","40",""
"18","Cobrança Finalizada","30",""
"18","Em Aberto","5","1"
"18","Em Andamento","10","0"
"18","Negociação","20",""
"19","CANCELADO","70",""
"19","DESISTIU DA COMPRA","65",""
"19","EM ABERTO","5",""
"19","EM ANDAMENTO","7","1"
"19","ENTREGA","50",""
"19","FAT AUTORIZADO","40",""
"19","FATURADO","45",""
"19","MUDOU O INTERESSE","68",""
"19","PEDIDO REALIZADO","10",""
"19","PENDENTE","9",""
"19","VENDA PERDIDA","60",""
"19","VENDA REALIZADA","48",""
"21","CANCELADO","80",""
"21","DESISTIU DA COMPRA","50",""
"21","EM ABERTO","10",""
"21","EM ANDAMENTO","20","1"
"21","ENTREGA","40",""
"21","LOCAÇÃO REALIZADA","30",""
"21","MUDOU INTERESSE","70",""
"21","VENDA PERDIDA","60",""
"23","CANCELADO","60",""
"23","DESISTIU DA COMPRA","50",""
"23","EM ABERTO","10",""
"23","EM ANDAMENTO","20","1"
"23","PEDIDO REALIZADO","25",""
"23","VENDA PERDIDA","40",""
"23","VENDA REALIZADA","30",""
"24","CANCELADO","60",""
"24","EM ABERTO","10",""
"24","FATURADO","80",""
"24","SERVIÇO REALIZADO","70",""
"24","VENDA PERDIDA","50",""
"25","EM ABERTO","10",""
"25","EM ANDAMENTO","20","1"
"25","FATURADO","30",""
"25","GARANTIA NEGADA","40",""
"27","CANCELADO","90",""
"27","DESISTIU DA COMPRA","80",""
"27","EM ABERTO","50",""
"27","EM ANDAMENTO","55","1"
"27","VENDA PERDIDA","70",""
"27","VENDA REALIZADA","60",""
"28","Em Andamento","30","1"
"28","Finalizado","50","0"
"28","Não Iniciado","10","0"
"31","A iniciar","20","1"
"31","Cancelado","50",""
"31","Em andamento","30",""
"31","Finalizado","40",""
"32","Em Aberto","10","1"
"32","Em Andamento","20",""
"33","CANCELADA","90",""
"33","DESISTIU DA COMPRA","96",""
"33","EM ABERTO","10","1"
"33","EM ANDAMENTO","20","0"
"33","FINALIZADA","40",""
"33","VENDA PERDIDA","95",""
"34","DESISTIU DA COMPRA","40",""
"34","EM ABERTO","5",""
"34","EM ANDAMENTO","10",""
"34","FATURADO","25",""
"34","PEDENTE","15",""
"34","PEDIDO REALIZADO","20",""
"34","VENDA PERDIDA","35",""
"34","VENDA REALIZADA","30",""
"37","A iniciar","20","1"
"37","DESISTENCIA COMPRA","80",""
"37","Em andamento","40",""
"37","Finalizado","60",""
"37","VENDA PERDIDA","90",""
"38","A iniciar","20","1"
"38","Em andamento","40",""
"38","Finalizado","60",""
"41","CANCELADO","90",""
"41","CREDITO NAO APROVADO","99",""
"41","DESISTIU DA COMPRA","75",""
"41","EM ABERTO","5","1"
"41","FAT AUTORIZADO","45",""
"41","FATURADO","48",""
"41","PEDIDO REALIZADO","50",""
"41","PENDENTE","20",""
"41","VENDA PERDIDA","70",""
"41","VENDA REALIZADA","60",""
"42","CANCELADA","50",""
"42","DESISTIU DA COMPRA","30",""
"42","EM ABERTO","10","1"
"42","VENDA PERDIDA","40",""
"42","VENDA REALIZADA","20",""
"49","COMISSÃO RECEBIDA","40",""
"49","DESISTIU DA COMPRA","50",""
"49","EM ABERTO","10","1"
"49","EM ANDAMENTO","20",""
"49","ENCERRADO","70",""
"49","VENDA PERDIDA","60",""
"49","VENDA REALIZADA","30",""
"50","CANCELADO","90",""
"50","CONCLUÍDO","93",""
"50","CREDITO APROVADO","65",""
"50","CREDITO NAO APROVADO","99",""
"50","DESISTIU DA COMPRA","75",""
"50","DEVOLVIDO","80",""
"50","EM ABERTO","5","1"
"50","EM ANDAMENTO","8",""
"50","FAT AUTORIZADO","45",""
"50","FATURADO","48",""
"50","PEDIDO NÃO APROVADO","95",""
"50","PEDIDO REALIZADO","50",""
"50","PENDENTE","20",""
"50","VENDA PERDIDA","70",""
"50","VENDA REALIZADA","60",""
"51","CANCELADO","75",""
"51","COMISSÃO RECEBIDA","40",""
"51","DESISTIU DA COMPRA","50",""
"51","EM ABERTO","10",""
"51","EM ANDAMENTO","20",""
"51","ENCERRADO","70",""
"51","FATURADO","45",""
"51","VENDA PERDIDA","60",""
"51","VENDA REALIZADA","30",""
"52","CANCELADO","55",""
"52","CREDITO APROVADO","35",""
"52","CREDITO NÃO APROVADO","65",""
"52","DESISTIU DA COMPRA","45",""
"52","DEVOLVIDO","50",""
"52","EM ABERTO","5",""
"52","FAT AUTORIZADO","15",""
"52","FATURADO","20",""
"52","PEDIDO NÃO APROVADO","60",""
"52","PEDIDO REALIZADO","25",""
"52","PENDENTE","10",""
"52","VENDA PERDIDA","40",""
"52","VENDA REALIZADA","30",""
"9400","CANCELADO","90",""
"9400","DESISTIU DA COMPRA","80",""
"9400","EM ABERTO","50","1"
"9400","EM ANDAMENTO","55",""
"9400","FINALIZADO","56",""
"9400","VENDA PERDIDA","70",""
"9400","VENDA REALIZADA","60",""
"9401","CONTRATO EMITIDO","40",""
"9401","DESISTIU DA COMPRA","75",""
"9401","DOC COMPLETA","25",""
"9401","DOC PENDENTE","20",""
"9401","EM ABERTO","10",""
"9401","ENTREGUE","65",""
"9401","FAT AUTORIZADO","45",""
"9401","FATURADO","50",""
"9401","PAC EMITIDO","30",""
"9401","PARADO","35",""
"9401","PEDIDO REALIZADO","15",""
"9401","RECEBIDO FINANC","55",""
"9401","VENDA PERDIDA","70",""
"9403","DESISTIU DA COMPRA","80",""
"9403","EM ABERTO","50",""
"9403","PEDIDO REALIZADO","55",""
"9403","VENDA PERDIDA","70",""
"9403","VENDA REALIZADA","60",""
"9405","CANCELADO","50",""
"9405","EM ABERTO","10",""
"9405","FATURADO","70",""
"9405","SERVIÇO REALIZADO","60",""
"9405","VENDA PERDIDA","40",""
"9408","CANCELADO","50",""
"9408","EM ABERTO","10","1"
"9408","EM ANDAMENTO","20",""
"9408","FINALIZADO","30",""
"9408","INSATISFEITO","70",""
"9408","SATISFEITO","60",""
"9410","Prospeccao","1","1"
"9413","CONTRATO EMITIDO","40",""
"9413","DESISTIU DA COMPRA","70",""
"9413","DOC COMPLLETA","25",""
"9413","DOC PENDENTE","20",""
"9413","EM ABERTO","10",""
"9413","ENTREGUE","60",""
"9413","FAT AUTORIZADO","45",""
"9413","FATURADO","50",""
"9413","PAC EMITIDO","30",""
"9413","PARADO","35",""
"9413","PEDIDO REALIZADO","15",""
"9413","RECEBIDO FINANC","55",""
"9413","VENDA PERDIDA","65",""
