"CodProcesso","SeqVinc","Vinculo","Exigido","NroVinc","CodVinc"
"6","1","FORM","0","10",""
"6","4","FORM","0","13",""
"6","7","FORM","0","27",""
"6","8","FORM","0","60",""
"6","9","FORM","0","6",""
"6","10","FORM","0","74",""
"7","2","FORM","0","18",""
"7","3","FORM","0","22",""
"7","4","FORM","0","20",""
"7","6","FORM","0","23",""
"7","7","FORM","0","24",""
"7","8","FORM","0","27",""
"7","9","FORM","0","28",""
"7","10","FORM","0","29",""
"7","11","FORM","0","17",""
"7","12","FORM","0","94000008",""
"7","13","FORM","0","6",""
"7","15","FORM","0","60",""
"7","17","FORM","0","74",""
"7","18","FORM","0","73",""
"8","1","FORM","0","10",""
"8","2","FORM","0","25",""
"8","4","FORM","0","26",""
"8","5","FORM","0","12",""
"8","6","FORM","0","11",""
"8","7","FORM","0","27",""
"8","8","FORM","0","60",""
"8","9","FORM","0","13",""
"8","10","FORM","0","6",""
"9","1","FORM","0","",""
"9","2","FORM","0","0",""
"9","3","FORM","0","0",""
"9","4","FORM","0","0",""
"9","5","FORM","0","0",""
"9","6","FORM","0","0",""
"9","7","FORM","0","0",""
"9","8","FORM","0","0",""
"10","1","FORM","0","29",""
"13","1","FORM","0","41",""
"13","2","FORM","0","61",""
"14","1","FORM","0","42",""
"14","2","FORM","0","45",""
"14","3","FORM","0","74",""
"16","1","FORM","0","43",""
"16","2","FORM","0","44",""
"19","1","FORM","0","47",""
"19","2","FORM","0","46",""
"21","2","FORM","0","49",""
"21","3","FORM","0","50",""
"23","1","FORM","0","51",""
"23","2","FORM","0","52",""
"24","1","FORM","0","58",""
"24","2","FORM","0","59",""
"26","1","FORM","0","53",""
"28","1","FORM","0","55",""
"28","2","FORM","0","34",""
"29","1","FORM","0","75",""
"34","1","FORM","0","163",""
"34","2","FORM","0","164",""
"35","1","FORM","0","63",""
"35","2","FORM","0","62",""
"35","3","FORM","0","76",""
"35","4","FORM","0","90",""
"35","5","FORM","0","153",""
"37","1","FORM","0","77",""
"37","2","FORM","0","79",""
"37","3","FORM","0","80",""
"37","4","FORM","0","81",""
"37","5","FORM","0","82",""
"37","6","FORM","0","83",""
"37","7","FORM","0","84",""
"37","8","FORM","0","85",""
"37","9","FORM","0","86",""
"37","10","FORM","0","90",""
"37","11","FORM","0","153",""
"38","1","FORM","0","89",""
"39","1","FORM","0","90",""
"39","2","FORM","0","153",""
"39","3","FORM","0","165",""
"39","4","FORM","0","166",""
"39","5","FORM","0","167",""
"39","6","FORM","0","170",""
"40","1","FORM","0","92",""
"40","2","FORM","0","91",""
"41","1","FORM","0","94000003",""
"41","2","FORM","0","96",""
"41","4","FORM","0","94",""
"41","5","FORM","0","95",""
"41","6","FORM","0","94000007",""
"41","7","FORM","0","94000002",""
"41","8","FORM","0","11",""
"41","9","FORM","0","94000010",""
"41","12","FORM","0","93",""
"41","13","FORM","0","21",""
"41","14","FORM","0","97",""
"41","15","FORM","0","99",""
"42","1","FORM","0","98",""
"43","1","FORM","0","100",""
"44","1","FORM","0","172",""
"44","2","FORM","0","145",""
"44","3","FORM","0","117",""
"45","1","FORM","0","102",""
"45","2","FORM","0","103",""
"45","3","FORM","0","104",""
"45","4","FORM","0","105",""
"45","5","FORM","0","106",""
"45","6","FORM","0","107",""
"45","7","FORM","0","108",""
"45","8","FORM","0","109",""
"45","9","FORM","0","110",""
"45","10","FORM","0","111",""
"45","11","FORM","0","112",""
"46","1","FORM","0","114",""
"46","2","FORM","0","115",""
"46","3","FORM","0","116",""
"46","4","FORM","0","121",""
"47","1","FORM","0","119",""
"47","2","FORM","0","120",""
"47","3","FORM","0","118",""
"48","1","FORM","0","126",""
"48","2","FORM","0","123",""
"48","3","FORM","0","122",""
"48","4","FORM","0","124",""
"48","5","FORM","0","125",""
"49","1","FORM","0","127",""
"49","2","FORM","0","128",""
"49","3","FORM","0","129",""
"49","4","FORM","0","130",""
"49","5","FORM","0","131",""
"50","2","FORM","0","134",""
"50","3","FORM","0","142",""
"50","4","FORM","0","141",""
"50","5","FORM","0","143",""
"50","6","FORM","0","145",""
"50","7","FORM","0","146",""
"50","8","FORM","0","147",""
"50","9","FORM","0","148",""
"50","10","FORM","0","149",""
"50","11","FORM","0","150",""
"50","12","FORM","0","151",""
"50","13","FORM","0","152",""
"50","14","FORM","0","117",""
"50","15","FORM","0","157",""
"50","16","FORM","0","158",""
"50","17","FORM","0","159",""
"50","18","FORM","0","160",""
"50","19","FORM","0","161",""
"50","20","FORM","0","156",""
"50","21","FORM","0","168",""
"50","22","FORM","0","169",""
"51","1","FORM","0","129",""
"51","2","FORM","0","128",""
"51","3","FORM","0","127",""
"51","4","FORM","0","131",""
"51","5","FORM","0","130",""
"51","6","FORM","0","144",""
"52","1","FORM","0","156",""
"52","2","FORM","0","157",""
"52","3","FORM","0","162",""
"9400","1","FORM","0","94000006",""
"9400","2","FORM","0","94000008",""
"9400","3","FORM","0","62",""
"9401","1","FORM","0","94000003",""
"9401","3","FORM","0","94000002",""
"9401","4","FORM","0","94000005",""
"9401","5","FORM","0","94000008",""
"9401","6","FORM","0","94000007",""
"9401","7","FORM","0","94000011",""
"9401","8","FORM","0","94000010",""
"9401","9","FORM","0","7",""
"9401","10","FORM","0","6",""
"9401","11","FORM","0","8",""
"9401","12","FORM","0","9",""
"9405","1","FORM","0","5",""
"9408","2","FORM","0","4",""
"9408","8","FORM","0","40",""
"9408","9","FORM","0","39",""
"9408","11","FORM","0","64",""
"9408","12","FORM","0","65",""
"9408","13","FORM","0","69",""
"9408","14","FORM","0","70",""
"9408","15","FORM","0","71",""
"9408","16","FORM","0","68",""
"9408","17","FORM","0","66",""
"9408","18","FORM","0","67",""
"9408","19","FORM","0","72",""
"9413","1","FORM","0","94000003",""
"9413","2","FORM","0","94000007",""
"9413","3","FORM","0","94000002",""
"9413","4","FORM","0","94000008",""
