"SeqPropriedade","Propriedade","Pcte","Nivel","NivelIdentificador","CampoListar","MostraRef","Usacomplemento","TipoRefVinculado","UmPorPessoa","ReferenciaSQL","Campo1","Campo1Sql","Campo2","Campo2Sql","Campo3","Campo3Sql","Campo4","Campo4Sql","Campo5","Campo5Sql","Campo6","Campo6Sql","Numero1","Numero2","Numero3","Numero4","Numero5","Numero6","Data1","Data2","Data3","Data4","Data5","Data6","SimNao1","SimNao2","SimNao3","SimNao4","SimNao5","SimNao6","Literal1","Literal2","Literal3","Literal4","Literal5","Literal6","Literal7","Literal8","Literal9","Literal10","DtaInclusao","UsuInclusao","DtaAlteracao","UsuAlteracao","ReferenciaDesc","Literal1Sql","Literal2Sql","Literal3Sql","Literal4Sql","Literal5Sql","Literal6Sql","Literal7Sql","Literal8Sql","Literal9Sql","Literal10Sql","CAMPO7","CAMPO8","CAMPO7SQL","CAMPO8SQL"
"4","Equipamento(Sisdia)","","","8","","S","N","","0","0","Modelo","0","Combustível","0","Estado da compra","0","Forma de compra","0","Forma de negociação","0","","0","Ano Modelo","Ano Fabricação","Valor$","","","","Data da venda","Data prev quitação","","","","","","","","","","","Revenda","Vendedor","Financiador","Uso do veículo","Cor","Placa","","","","","10/08/2007 00:00:00","VACTSUPER","","","Referência","0","0","0","0","0","0","0","0","0","0","","","",""
"5","Locação","","","8","","S","N","","0","1","Marca","1","Família","0","Modelo","0","","0","","0","","0","Valor Mensal","Valor Total","","","","","Início Contrato","Renovação","Término Contrato","","","","","","","","","","Marca","Família","Modelo","Nº Contrato","","","","","","","","","27/11/2017 00:00:00","VANESSA.ALVE","Contrato","0","0","0","0","0","0","0","0","0","0","","","0","0"
"6","Equip.Antigo","","","8","CAMPO2","S","N","","0","1","Família","1","Modelo","1","","0","","0","Novo/Usado","0","Ano","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19/03/2018 00:00:00","VTCCONS","Marca*","0","0","0","0","0","0","0","0","0","0","","","0","0"
"16","Equipamentos Manitou","","","8","CAMPO2","S","N","","0","1","Família","1","Modelo","1","Novo/Usado","0","","0","","0","Ano","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19/03/2018 00:00:00","VTCCONS","Marca*","0","0","0","0","0","0","0","0","0","0","","","0","0"
"17","Operations Center","","","3","IDENTIFICADOR","S","N","","1","0","","0","","0","","0","","0","","0","","0","","","","","","","","","","","","","","","","","","","Nome:","","","","","","","","","","","","28/02/2022 00:00:00","DIEGO.MARQUE","Programa","0","0","0","0","0","0","0","0","0","0","","","0","0"
"18","Seguro","","","3","","N","N","","0","0","Seguradora","0","Corretora","0","Condição Pagamento","0","","0","","0","","0","Apolice","","","","","","Cobertura Inicial","Cobertura Final","Faturamento Maquina","","","","","","","","","","Valor Cobertura","Valor Seguro","Equipamento","Chassi","Vendedor Seguro","Valor do Bem","Ano do Bem","Parcelas","% de Comissão","","","","04/05/2022 00:00:00","DIEGO.MARQUE","CEN","0","0","1","0","0","0","0","0","0","0","","","0","0"
"19","Contrato GFC","","","3","","S","N","","0","0","","0","","0","","0","","0","","0","","0","Horímetro","","","","","","Data de atualização","","","","","","","","","","","","","","","","","","","","","","","","27/01/2023 00:00:00","LIVIA.SILVA","","0","0","0","0","0","0","0","0","0","0","","","0","0"
"20","Frota","","","3","CAMPO1","S","N","","1","0","","0","","0","","0","","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12/08/2025 00:00:00","MATHEUS.AUGU","Referência","0","0","0","0","0","0","0","0","0","0","","","0","0"
"9400","Origem da Receita","","","3","CAMPO1","S","N","","0","1","Tipo*","1","","0","Peso","0","","0","","0","Área Compartilhada","0","","","","Área(ha)","","","Término Arrendamento","","","","","","","","","","","","","Tipo de Propriedade","","","","","","","","","","","18/11/2011 00:00:00","VTCCONS","Grupo*","","1","","","","","","","","","Área Principal","","",""
"9402","Trator","","","8","CAMPO2","S","N","","0","1","Família","0","Modelo","1","Faixa de Potência","1","","0","","0","Ano","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19/11/2011 00:00:00","VTCCONS","Marca*","","","","","","","","","","","Quantidade","","","0"
"9403","Colheitadeira Grãos","","","3","CAMPO1","S","N","","0","1","","0","Modelo","1","Separador","1","Tipo da Plataforma","1","","0","Ano","1","","","","Tam Plataforma (L/P)","","","","","","","","","","","","","","","","","","","","","","","","","","","19/11/2011 00:00:00","VTCCONS","Marca*","","","","","","","","","","","Quantidade","","",""
"9404","Plataforma Adicional","","","3","CAMPO1","S","N","","0","1","Tipo*","0","Modelo*","1","","0","","0","","0","Ano","1","","","","Tam Plataforma (L/P)","","","","","","","","","","","","","","","","","","","","","","","","","","","19/11/2011 00:00:00","VTCCONS","Marca*","","","","","","","","","","","","","",""
"9405","Plantadeira","","","3","CAMPO1","S","N","","0","1","Tipo","1","Modelo","1","","0","","0","","0","Ano","1","","","","Nº de Linhas","","","","","","","","","","","","","","","","","","","","","","","","","","","19/11/2011 00:00:00","VTCCONS","Marca*","","","","","","","","","","","Quantidade","","",""
"9406","Implemento","","","3","","S","N","","0","1","Tipo*","1","Modelo*","1","","0","","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19/11/2011 00:00:00","VTCCONS","Marca*","","","","","","","","","","","","","",""
"9407","Agricultura Precisão","","","3","CAMPO1","S","N","","0","1","Tipo","0","Modelo","1","","0","","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19/11/2011 00:00:00","VTCCONS","Marca*","","","","","","","","","","","","","",""
"9408","Feno e Forragem","","","3","CAMPO1","S","N","","0","1","Tipo","1","","0","","0","","0","","0","Ano","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19/11/2011 00:00:00","VTCCONS","Marca*","","","","","","","","","","","","","",""
"9409","Turf","","","3","","S","N","","0","1","Tipo","1","Modelo","1","","0","","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19/11/2011 00:00:00","VTCCONS","Marca*","","","","","","","","","","","","","",""
"9410","Pulverizador","","","3","LITERAL1","S","N","","0","1","","0","Modelo","1","","0","","0","","0","Ano","1","","","","Cap. Tanque Solução","","","","","","","","","","","","","","","","","","","","","","","","","","","19/11/2011 00:00:00","VTCCONS","Marca*","","","","","","","","","","","Quantidade","","",""
