"SeqFormulario","Questao","Lista","ProximaQuestao","Ordem","Nomecoluna","Peso","EmUso"
"1","1","Indiferente","","110","Q001_INDIFERENTE","1,00","1"
"1","1","Insatisfeito","","100","Q001_INSATISFEITO","1,00","1"
"1","1","Satisfeito","","120","Q001_SATISFEITO","1,00","1"
"1","4","0","","100","Q004_0","1,00","1"
"1","4","1","","110","Q004_1","1,00","1"
"1","4","10","","200","Q004_10","1,00","1"
"1","4","2","","120","Q004_2","1,00","1"
"1","4","3","","130","Q004_3","1,00","1"
"1","4","4","","140","Q004_4","1,00","1"
"1","4","5","","150","Q004_5","1,00","1"
"1","4","6","","160","Q004_6","1,00","1"
"1","4","7","","170","Q004_7","1,00","1"
"1","4","8","","180","Q004_8","1,00","1"
"1","4","9","","190","Q004_9","1,00","1"
"1","6","Não","","20","","1,00",""
"1","6","Sim","","10","","1,00",""
"2","1","0","","100","Q001_ZERO","1,00","1"
"2","1","1","","110","Q001_UM","1,00","1"
"2","1","10","","200","Q001_DEZ","1,00","1"
"2","1","2","","120","Q001_DOIS","1,00","1"
"2","1","3","","130","Q001_TRES","1,00","1"
"2","1","4","","140","Q001_QUATRO","1,00","1"
"2","1","5","","150","Q001_CINCO","1,00","1"
"2","1","6","","160","Q001_SEIS","1,00","1"
"2","1","7","","170","Q001_SETE","1,00","1"
"2","1","8","","180","Q001_OITO","1,00","1"
"2","1","9","","190","Q001_NOVE","1,00","1"
"2","2","Indiferente","","110","Q002_INDIFERENTE","1,00","1"
"2","2","Insatisfeito","","100","Q002_INSATISFEITO","1,00","1"
"2","2","Satisfeito","","120","Q002_SATISFEITO","1,00","1"
"2","3","Indiferente","","110","Q003_INDIFERENTE","1,00","1"
"2","3","Insatisfeito","","100","Q003_INSATISFEITO","1,00","1"
"2","3","Satisfeito","","120","Q003_SATISFEITO","1,00","1"
"2","4","Indiferente","","110","Q004_INDIFERENTE","1,00","1"
"2","4","Insatisfeito","","100","Q004_INSATISFEITO","1,00","1"
"2","4","Satisfeito","","120","Q004_SATISFEITO","1,00","1"
"2","5","Não","","20","","1,00",""
"2","5","Sim","","10","","1,00",""
"2","6","Indiferente","","110","Q006_INDIFERENTE","1,00","1"
"2","6","Insatisfeito","","100","Q006_INSATISFEITO","1,00","1"
"2","6","Satisfeito","","120","Q006_SATISFEITO","1,00","1"
"2","7","Área de Peças","","130","Q007_AREA_DE_PECAS","1,00","1"
"2","7","Área de Serviços","","140","Q007_AREA_DE_SERVICO","1,00","1"
"2","7","Área de Vendas ","","120","Q007_AREA_DE_VENDAS","1,00","1"
"2","7","Espaço Físico","","160","Q007_ESPACO_FISICO","1,00","1"
"2","7","Estrutura","","100","Q007_ESTRUTURA","1,00","1"
"2","7","Organização","","150","Q007_ORGANIZACAO","1,00","1"
"3","1","0","","100","Q001_ZERO","1,00","1"
"3","1","1","","110","Q001_UM","1,00","1"
"3","1","10","","200","Q001_DEZ","1,00","1"
"3","1","2","","120","Q001_DOIS","1,00","1"
"3","1","3","","130","Q001_TRES","1,00","1"
"3","1","4","","140","Q001_QUATRO","1,00","1"
"3","1","5","","150","Q001_CINCO","1,00","1"
"3","1","6","","160","Q001_SEIS","1,00","1"
"3","1","7","","170","Q001_SETE","1,00","1"
"3","1","8","","180","Q001_OITO","1,00","1"
"3","1","9","","190","Q001_NOVE","1,00","1"
"3","2","Indiferente","","110","Q002_INDIFERENTE","1,00","1"
"3","2","Insatisfeito","","100","Q002_INSATISFEITO","1,00","1"
"3","2","Satisfeito","","120","Q002_SATISFEITO","1,00","1"
"3","3","Indiferente","","110","Q003_INDIFERENTE","1,00","1"
"3","3","Insatisfeito","","100","Q003_INSATISFEITO","1,00","1"
"3","3","Satisfeito","","120","Q003_SATISFEITO","1,00","1"
"3","4","Indiferente","","110","Q004_INDIFERENTE","1,00","1"
"3","4","Insatisfeito","","100","Q004_INSATISFEITO","1,00","1"
"3","4","Satisfeito","","120","Q004_SATISFEITO","1,00","1"
"3","5","Não","","20","","1,00",""
"3","5","Sim","","10","","1,00",""
"3","6","Indiferente","","110","Q006_INDIFERENTE","1,00","1"
"3","6","Insatisfeito","","100","Q006_INSATISFEITO","1,00","1"
"3","6","Satisfeito","","120","Q006_SATISFEITO","1,00","1"
"3","7","Áera de Peças","","120","Q007_AREA_PECAS","1,00","1"
"3","7","Área de Serviços","","130","Q007_AREA_SERVICO","1,00","1"
"3","7","Área de Vendas","","110","Q007_AREA_VENDAS","1,00","1"
"3","7","Espaço Físico","","150","Q007_ESPACO_FISICO","1,00","1"
"3","7","Estrutura","","100","Q007_ESTRUTURA","1,00","1"
"3","7","Organização","","140","Q007_ORGANIZACAO","1,00","1"
"4","1","Indiferente","","110","Q001_INDIFERENTE","1,00","1"
