"SeqResMsgPapel","Resultado","AtitudeUsr","NroEmpresa","ResultadoCmpl","Grupo","Ordem","TipoDest","Papel","Canal","SeqTxtPadrao","Template","Remetente","DtaInclusao","UsuInclusao","DtaAlteracao","UsuAlteracao","PesFormulario","PesResultado","QTDEDIAS","QTDEHU","SEQCONTAENVIO","TIPOPREFENVIO","INDENVIAQLQERHORA","EMUSO","PRIORIDADE","DESCRICAOMENSAGEM","OBJETIVOMSG"
"7","940094"," ","2","","","","USR","321","EML","1","","","16/02/2012 16:48:02","VTCCONS","30/11/2017 17:35:50","VANESSA.ALVES","","","","","","","","1","5","",""
"8","940094"," ","3","","","","USR","323","EML","1","","","16/02/2012 16:49:11","VTCCONS","30/11/2017 17:35:50","VANESSA.ALVES","","","","","","","","1","5","",""
"9","940094"," ","6","","","","USR","324","EML","1","","","16/02/2012 16:49:30","VTCCONS","30/11/2017 17:35:50","VANESSA.ALVES","","","","","","","","1","5","",""
"10","940094"," ","4","","","","USR","322","EML","1","","","16/02/2012 16:49:49","VTCCONS","30/11/2017 17:35:50","VANESSA.ALVES","","","","","","","","1","5","",""
"11","940094"," ","5","","","","USR","320","EML","1","","","16/02/2012 16:51:24","VTCCONS","30/11/2017 17:35:50","VANESSA.ALVES","","","","","","","","1","5","",""
"12","940094"," ","1","","","","USR","319","EML","1","","","16/02/2012 16:51:41","VTCCONS","30/11/2017 17:35:50","VANESSA.ALVES","","","","","","","","1","5","",""
"13","940095"," ","2","","","","USR","321","EML","1","","#ATD","16/02/2012 16:53:00","VTCCONS","16/02/2012 16:53:16","VTCCONS","","","","","","","","1","5","",""
"14","940095"," ","3","","","","USR","323","EML","1","","#ATD","16/02/2012 16:53:17","VTCCONS","16/02/2012 16:53:37","VTCCONS","","","","","","","","1","5","",""
"15","940095"," ","6","","","","USR","324","EML","1","","#ATD","16/02/2012 16:53:39","VTCCONS","16/02/2012 16:53:57","VTCCONS","","","","","","","","1","5","",""
"16","940095"," ","4","","","","USR","320","EML","1","","#ATD","16/02/2012 16:53:58","VTCCONS","16/02/2012 16:54:18","VTCCONS","","","","","","","","1","5","",""
"17","940095"," ","5","","","","USR","320","EML","1","","#ATD","16/02/2012 16:54:20","VTCCONS","16/02/2012 16:54:38","VTCCONS","","","","","","","","1","5","",""
"18","940095"," ","1","","","","USR","319","EML","1","","#ATD","16/02/2012 16:54:40","VTCCONS","16/02/2012 16:54:57","VTCCONS","","","","","","","","1","5","",""
