"Resultado","Pcte","Acao","DescReduzida","Descricao","CMPLTTXTPADRAO","ADVERTENCIA","REAGENDARPARA","Seqformulario","Ordem","DESCVALOR","DESCQTDE","UsuInclusao","DtaInclusao","UsuAlteracao","DtaAlteracao","QtdeMaxPorAcao","ASSUNTOCMPL","ASSUNTOEMAIL","PubWeb","HORAPRORRLIMITE","HORAPRORRAGDA","HORAREAGENDA","CanalPadrao","SOLICSTATDESC","VidaUtil","MINUTILREAGENDA","CTRLINTERATIVO","CTRLCONCLUSAO","CTRLDETALHE","CTRLFORMACONTATO","CTRLREAGENDA","CTRLCONFIRMAREAG","CTRLREAGENDASILO","CTRLMUDARATDREAG","CTRLFORMULARIO","CTRLDURACAO","CTRLQTDE","CTRLVALOR","CTRLPRODUTIVO","CTRLPRODUTO","CTRLVENDEDOR","CTRLMOTIVO","CTRLDEPARTAMENTO","CTRLCAMPANHA","CTRLCONTATOPF","CTRLCONTATOPJ","CTRLCLIENTEATIVO","CTRLDETALHEPROC","CTRLDESCRSTATUSPROC","CTRLSTATUSPROC","CTRLRESUMOPROC","CTRLPERSPECTIVAPROC","CTRLVALORPROC","CTRLDTAENCERRAPROC","CTRLPROJETO","CTRLIMAGEM","CTRLCTIDISPONIVEL","CTRLCOMPLEMENTO","CTRLCMPLSQL","CTRLAGENDACONF","CTRLRESPPROC","EMUSO"
"940000","","940003","Em Preparação","Em Preparação","","","","","10","","","MARCELO","11/11/2011 14:27:00","JULIANA.PLACIDI","29/01/2014 10:45:00","","","Em preparação","0","0,00","","0,00","","0","0","","1","0","0","0","1","","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","1"
"940001","","940003","Falta de Componentes","Falta de Componentes","","","","","20","","","MARCELO","11/11/2011 14:31:00","JULIANA.PLACIDI","29/01/2014 10:45:00","","","Falta de componentes","0","0,00","","0,00","","0","0","","1","0","0","0","1","","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","1"
"940002","","940003","Máq/Imp Preparado","Máquina/Implemento Preparado","","","","","30","","","MARCELO","11/11/2011 14:31:00","LIVIA.SILVA","21/06/2024 12:34:00","","","Máquina preparada","0","0,00","","0,00","","0","0","","1","9","0","0","0","","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","","0","0","1"
"940003","","940003","Entrega Agendada","Entrega Agendada","","","","","40","","","MARCELO","11/11/2011 14:32:00","VTCCONS","16/08/2012 16:13:00","","","Agendamento de entrega","0","","","0,00","","0","0","","1","9","0","0","0","","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0"
"940004","","940004","Em Andamento","Em Andamento","","","","","10","","","MARCELO","11/11/2011 14:34:00","","11/11/2011 14:34:00","","","Em andamento","0","","","0,00","","0","0","","1","0","0","0","1","","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","1"
"940005","","940004","Entrega Agendada","Entrega Agendada","","","","","20","","","MARCELO","11/11/2011 14:35:00","VTCCONS","10/06/2012 17:11:00","","","Entrega agendada","0","","","0,00","","0","0","","1","9","0","0","0","","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","1"
"940006","","940005","Entrega Técnica Real","Entrega Técnica Realizada","","","","","10","","","MARCELO","11/11/2011 14:39:00","LIVIA.SILVA","21/06/2024 12:29:00","","","Entrega técnica realizada","0","0,00","","0,00","","0","0","","1","9","0","0","0","","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","1"
"1320","","220","Aguardando Docto Com","Aguardando Docto Complementar","","","","","16","","","DIEGO.MARQUES","20/09/2018 15:54:00","LIVIA.SILVA","29/06/2023 10:27:00","","","Aguardando docto complementar","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1321","","223","Aguardando Documenta","Aguardando Documentação Complementar","","","","","16","","","DIEGO.MARQUES","24/09/2018 13:47:00","LIVIA.SILVA","12/07/2023 12:57:00","","","Aguardando documentação complementar","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1322","","222","Aguardando Documenta","Aguardando Documentação Complementar","","","","","16","","","DIEGO.MARQUES","25/09/2018 13:10:00","LIVIA.SILVA","29/06/2023 09:52:00","","","Aguardando documentação complementar","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1323","","215","Aguardando Documenta","Aguardando Documentação Complementar","","","","","16","","","DIEGO.MARQUES","25/09/2018 14:43:00","LIVIA.SILVA","29/06/2023 09:21:00","","","Aguardando documentação complementar","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1324","","219","Aguardando Documenta","Aguardando Documentação Complementar","","","","","16","","","DIEGO.MARQUES","25/09/2018 14:52:00","LIVIA.SILVA","29/06/2023 08:40:00","","","Aguardando documentação complementar","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1325","","221","Aguardando Documenta","Aguardando Documentação Complementar","","","","","16","","","DIEGO.MARQUES","25/09/2018 14:57:00","LIVIA.SILVA","29/06/2023 08:50:00","","","Aguardando documentação complementar","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1326","","257","Aguardando Docto Com","Aguardando Docto Complementar","","","","","16","","","DIEGO.MARQUES","25/09/2018 15:24:00","LIVIA.SILVA","29/06/2023 10:25:00","","","Aguardando docto complementar","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1327","","253","Aguardando Docto Com","Aguardando Docto Complementar","","","","","16","","","DIEGO.MARQUES","26/09/2018 10:42:00","LIVIA.SILVA","29/06/2023 09:22:00","","","Aguardando docto complementar","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1328","","254","Aguardando Docto Com","Aguardando Docto Complementar","","","","","16","","","DIEGO.MARQUES","26/09/2018 10:44:00","LIVIA.SILVA","29/06/2023 08:51:00","","","Aguardando docto complementar","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1329","","255","Aguardando Docto Com","Aguardando Docto Complementar","","","","","16","","","DIEGO.MARQUES","26/09/2018 10:46:00","LIVIA.SILVA","29/06/2023 09:19:00","","","Aguardando docto complementar","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1342","","309","Aprovado","Aprovado","","","","","10","","","DIEGO.MARQUES","31/10/2018 13:15:00","NETO.PRADO","21/01/2025 15:55:00","","","Aprovado","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1343","","309","Recusado","Recusado","","","","","20","","","DIEGO.MARQUES","31/10/2018 13:32:00","LIVIA.SILVA","10/04/2023 12:11:00","","","Recusado","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1344","","270","Análise Critica","Análise Critica","","","","","50","","","DIEGO.MARQUES","25/11/2018 12:28:00","DIEGO.MARQUES","27/07/2020 21:00:00","","","Análise critica","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1345","","270","Análise Anormal","Análise Anormal","","","","","60","","","DIEGO.MARQUES","25/11/2018 12:34:00","DIEGO.MARQUES","27/07/2020 21:00:00","","","Análise anormal","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1346","","270","Análise com Alteraçã","Análise com Alteração","","","","","70","","","DIEGO.MARQUES","25/11/2018 12:35:00","DIEGO.MARQUES","27/07/2020 20:59:00","","","Análise com alteração","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1347","","310","Realizado","Realizado","","","","","10","","","DIEGO.MARQUES","26/11/2018 08:10:00","DIEGO.MARQUES","26/11/2018 08:10:00","","","Realizado","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1348","","310","Em Andamento","Em Andamento","","","","","20","","","DIEGO.MARQUES","26/11/2018 08:25:00","DIEGO.MARQUES","26/11/2018 08:25:00","","","Em andamento","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1349","","310","Cancelado","Cancelado","","","","","30","","","DIEGO.MARQUES","26/11/2018 08:25:00","DIEGO.MARQUES","26/11/2018 08:25:00","","","Cancelado","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1350","","41","Aguardando para inic","Aguardando para iniciar banco","","","","","80","","","DIEGO.MARQUES","02/12/2018 15:46:00","DIEGO.MARQUES","02/12/2018 20:48:00","","","Aguardando para iniciar banco","0","0,00","","0,00","","","","","1","0","9","0","1","1","0","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1351","","311","Em Andamento","Em Andamento","","","","","10","","","DIEGO.MARQUES","02/12/2018 16:09:00","DIEGO.MARQUES","02/12/2018 16:10:00","","","Em andamento","0","0,00","","0,00","","","","","1","0","9","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1352","","311","Realizado Contrato","Realizado Contrato","","","","","20","","","DIEGO.MARQUES","02/12/2018 16:10:00","DIEGO.MARQUES","17/07/2020 17:25:00","","","Realizado contrato","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1307","","304","Em andamento ","Em andamento","","","","","10","","","DIEGO.MARQUES","14/08/2018 13:26:00","DIEGO.MARQUES","15/08/2018 17:08:00","","","Em andamento","0","0,00","","0,00","","","","","1","0","9","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1308","","304","Liberado Entrega","Liberado Entrega","ENTREGA LIBERADA","","","","20","","","DIEGO.MARQUES","14/08/2018 13:27:00","LIVIA.SILVA","12/07/2024 17:12:00","","","Liberado entrega","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1309","","44","Agendamento Realizad","Agendamento Realizado","","","","","15","","","DIEGO.MARQUES","15/08/2018 19:01:00","DIEGO.MARQUES","31/08/2018 12:08:00","","","Agendar entrega","0","0,00","","0,00","","","","","1","0","9","0","1","0","0","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1310","","44","Contato sem sucesso","Contato sem sucesso","","","","","25","","","DIEGO.MARQUES","15/08/2018 19:03:00","DIEGO.MARQUES","15/08/2018 19:03:00","","","Contato sem sucesso","0","0,00","","0,00","","","","","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1311","","305","Em Andamento","Em Andamento","","","","","10","","","DIEGO.MARQUES","20/08/2018 09:06:00","DIEGO.MARQUES","20/08/2018 09:06:00","","","Em andamento","0","0,00","","0,00","","","","","1","0","9","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1312","","305","Processo Enviado P/ ","Processo Enviado P/ Aprovação","Processo enviado para aprovação","","","","20","","","DIEGO.MARQUES","20/08/2018 09:11:00","LIVIA.SILVA","28/06/2023 14:52:00","","","Processo enviado p/ aprovação","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1313","","58","Verificação Serasa","Verificação Serasa","Consulta Realizada Sem Restrições.","","","","111","","","DIEGO.MARQUES","20/08/2018 12:38:00","DIEGO.MARQUES","31/08/2018 16:19:00","","","Verificação serasa","0","0,00","","0,00","","","","","1","0","9","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1314","","306","Em Andamento","Em Andamento","","","","","10","","","DIEGO.MARQUES","24/08/2018 13:52:00","DIEGO.MARQUES","24/08/2018 13:52:00","","","Em andamento","0","0,00","","0,00","","","","","1","0","9","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1315","","306","Liberado Entrega","Liberado Entrega","ENTREGA LIBERADA","","","","20","","","DIEGO.MARQUES","24/08/2018 13:54:00","LIVIA.SILVA","20/06/2024 16:54:00","","","Liberado entrega","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1317","","","Convite Entregue","Convite Entregue","Convite entregue.","","","","50","","","VANESSA.ALVES","24/08/2018 14:48:00","LIVIA.SILVA","27/03/2024 08:56:00","","","Convite entregue","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","1"
"1318","","","Confirmado Presença ","Confirmado Presença Evento","Confirmado presença:

Data do Evento:","","","","50","","","VANESSA.ALVES","24/08/2018 14:57:00","NETO.PRADO","22/08/2024 15:18:00","","","Confirmado presença evento","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","1"
"1319","","","Participou Palestra","Participou de Palestra","Data:
Palestrante:
Tema:
Evento:","","","","50","","","VANESSA.ALVES","20/09/2018 15:12:00","LIVIA.SILVA","30/06/2023 11:48:00","","","Participou de palestra","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1330","","258","Aguardando Docto Com","Aguardando Docto Complementar","","","","","16","","","DIEGO.MARQUES","26/09/2018 10:47:00","LIVIA.SILVA","29/06/2023 09:03:00","","","Aguardando docto complementar","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1331","","259","Aguardando Docto Com","Aguardando Docto Complementar","","","","","16","","","DIEGO.MARQUES","26/09/2018 10:47:00","LIVIA.SILVA","29/06/2023 08:42:00","","","Aguardando docto complementar","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1332","","","E-mail Mk Enviado","E-mail Marketing Enviado","","","","","50","","","VANESSA.ALVES","01/10/2018 09:44:00","LIVIA.SILVA","27/06/2023 11:59:00","","","E-mail marketing enviado","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1333","","","SMS Enviado","SMS Enviado","","","","","50","","","VANESSA.ALVES","01/10/2018 11:02:00","LIVIA.SILVA","27/06/2023 17:10:00","","","Sms enviado","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1334","","305","Venda Cancelada","Venda Cancelada","","","","","30","","","DIEGO.MARQUES","05/10/2018 14:01:00","LIVIA.SILVA","28/06/2023 14:53:00","","","Venda Cancelada","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1335","","307","Instalação Realizada","Instalação Realizada","","","","","10","","","DIEGO.MARQUES","18/10/2018 17:13:00","DIEGO.MARQUES","19/04/2021 13:23:00","","","Instalação realizada","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1336","","307","Instalação Programad","Instalação Programada","","","","","20","","","DIEGO.MARQUES","18/10/2018 17:19:00","GABRIEL.PILO","28/01/2020 16:26:00","","","Instalação programada","0","0,00","","0,00","","","","","1","1","9","0","1","0","0","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1337","","307","Não Possui Instalaçã","Não Possui Instalação","","","","","30","","","DIEGO.MARQUES","18/10/2018 17:20:00","GABRIEL.PILO","28/01/2020 16:27:00","","","Não possui instalação","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1338","","308","Em Andamento","Em Andamento","","","","","10","","","DIEGO.MARQUES","21/10/2018 14:33:00","DIEGO.MARQUES","21/10/2018 14:33:00","","","Em andamento","0","0,00","","0,00","","","","","1","0","9","0","1","0","0","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1339","","308","Processo Enviado P/ ","Processo Enviado P/ Aprovação","Documenta e pedidos ok, já enviados ao depto financeiro para análise.","","","","20","","","DIEGO.MARQUES","21/10/2018 14:46:00","RICARDO.MORETTI","29/07/2025 15:25:00","","","Processo enviado p/ aprovação","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1340","","308","Pedido Devolvido","Pedido Devolvido","","","","","30","","","DIEGO.MARQUES","21/10/2018 14:46:00","DIEGO.MARQUES","22/10/2018 15:09:00","","","Venda cancelada","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","1"
"1341","","265","Cortesia Enviada","Cortesia Enviada","OS:","POR FAVOR, ANEXAR A PLANILHA DE CORTESIA","","","40","","","DIEGO.MARQUES","30/10/2018 09:03:00","LIVIA.SILVA","28/12/2023 12:59:00","","","Cortesia enviada","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1365","","315","Contato Impossível","Contato Impossível","Cadastro não possui telefone.","Trocar a Carteira para INT_MERCADO","","","80","","","","","VANESSA.ALVES","23/02/2023 16:09:00","","","Contato impossível","","0,00","","","","","","","1","9","9","","0","","","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0"
"1366","","315","Fora da Região","Fora da Região","Cliente atua fora da nossa região.","","","","90","","","","","VANESSA.ALVES","23/02/2023 16:09:00","","","Fora da região","","0,00","","","","","","","1","9","9","","0","","","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0"
"1367","","315","Satisfeito","Participante Satisfeito","","","","","100","","","VANESSA.ALVES","19/02/2019 12:39:00","VANESSA.ALVES","23/02/2023 16:07:00","","","Participante satisfeito","0","0,00","","0,00","","","","","1","9","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","1"
"1368","","315","Insatistisfeito","Participante Insatisfeito","","","","","110","","","VANESSA.ALVES","19/02/2019 12:44:00","MATHEUS.AUGUSTO","26/02/2025 13:44:00","","","Participante insatisfeito","0","0,00","","0,00","","","","","1","9","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1369","","316","Em andamento","Em andamento","","","","","10","","","DIEGO.MARQUES","28/02/2019 15:06:00","DIEGO.MARQUES","28/02/2019 15:06:00","","","Em andamento","0","0,00","","0,00","","","","","1","0","9","0","1","0","0","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1370","","316","Validado Bonificação","Validado Bonificação","","","","","20","","","DIEGO.MARQUES","28/02/2019 15:59:00","RICARDO.MORETTI","02/09/2025 09:00:00","","","Validado bonificação","0","0,00","","0,00","","","","","1","9","9","0","0","0","0","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
