"SeqTxtPadrao","Aplicacao","Descricao","AssPadrao","Texto","DtaInclusao","UsuInclusao","DtaAlteracao","UsuAlteracao","HoraAGUARDARET","IDEXTERNO"
"1","MsCtr_Andamento_EML","Compra Finalizada","Processo de venda Colorado - Cliente [AndNomePessoa].","Prezados, analisar com a área comercial sobre o andamento da venda para o cliente [AndNomePessoa]. Sua compra já passou pela etapa de faturamento e financeiro de acordo com o processo [AndNroProcesso] no CRM.

","13/01/2012 15:23:00","VTCCONS","27/09/2013 16:20:00","VTCCONS","",""
"2","MsCtr_Andamento_EML","Controle Nova Venda","COMUNICADO CRM - Controle Nova Venda","Para conhecimento da área de peças e atualização do parque de máquinas, a Colorado fechou a venda de máquina agrícola para o cliente [AndNomePessoa] - processo [AndNroProcesso]. Verifique com os departamentos Comercial e Serviços sobre a data de entrega e modelo do equipamento.","24/02/2012 10:11:00","VTCCONS","24/02/2012 11:07:00","VTCCONS","",""
"3","MsCtr_Andamento_EML","ATENDIMENTO RECLAMAÇÃO","[AndDescResultado] - Cliente [AndNomePessoa]","Cliente [AndNomePessoa] registrou reclamação.

Seguem informações sobre a insatisfação do cliente referente ao processo n° [AndNroProcesso]:

[AndDetalhe]
[AndDetalheAdicional]

Unidade envolvida na reclamação: [AndNroEmpresa]

Atendimento Reclamação processo [AndNroProcesso] 


Importante salientar que o contato com o cliente deve ser realizado no máximo em 24 horas, se possível imediatamente. 
Este contato deve ser registrado no processo do CRM, bem como a tratativa mais adequada para o caso.
O prazo para solução da insatisfação é 5 dias úteis e todo e qualquer andamento no processo deve ser registrado para que todos os envolvidos tenham acesso as informações.


""Agradeça quando um cliente insatisfeito chega para reclamar. Se ele fez isso é porque acredita na empresa e sabe que você pode fazer melhor!""","23/04/2012 10:18:00","MARCELO.EDER","26/10/2020 16:30:00","MARCELO.EDER","0,0",""
"4","MsCtr_Andamento_EML","Cliente Insatisf Máquina","CLIENTE INSATISFEITO PESQUISA - [AndNomePessoa] - Depreciador Máquinas","Cliente [AndNomePessoa], sinalizou em Pesquisa Vendas de Máquinas insatisfação.

Número do processo: [AndNroProcesso]

Seguem informações sobre a insatisfação do cliente:
[AndDetalhe]


Importante salientar que o contato com o cliente deve ser realizado no máximo em 24 horas, se possível imediatamente. 
Este contato deve ser registrado no processo do CRM, bem como a tratativa mais adequada para o caso.
O prazo para solução da insatisfação é 5 dias úteis e todo e qualquer andamento no processo deve ser registrado para que todos os envolvidos tenham acesso as informações.


""Experiência do Cliente Satisfatória não é uma técnica a ser implantada, mas uma postura a ser cultivada!""","23/04/2012 10:48:00","MARCELO.EDER","26/10/2020 16:39:00","MARCELO.EDER","0,0",""
"5","MsCtr_Andamento_EML","Cliente Insatisf Peças","CLIENTE INSATISFEITO PESQUISA - [AndNomePessoa] - Depreciador Peças","Cliente [AndNomePessoa], sinalizou em Pesquisa de Peças insatisfação.

Número do processo: [AndNroProcesso]

Seguem informações sobre a insatisfação do cliente:
[AndDetalhe]


Importante salientar que o contato com o cliente deve ser realizado no máximo em 24 horas, se possível imediatamente. 
Este contato deve ser registrado no processo do CRM, bem como a tratativa mais adequada para o caso.
O prazo para solução da insatisfação é 5 dias úteis e todo e qualquer andamento no processo deve ser registrado para que todos os envolvidos tenham acesso as informações.


""Experiência do Cliente Satisfatória não é uma técnica a ser implantada, mas uma postura a ser cultivada!""","23/04/2012 15:00:00","VTCCONS","26/10/2020 16:48:00","VTCCONS","0,0",""
"6","MsCtr_Andamento_EML","Cliente Insatisf Serviços","CLIENTE INSATISFEITO PESQUISA - [AndNomePessoa] - Depreciador Serviços","Cliente [AndNomePessoa], sinalizou em Pesquisa de Serviços insatisfação.

Número do processo: [AndNroProcesso]

Seguem informações sobre a insatisfação do cliente:
[AndDetalhe]


Importante salientar que o contato com o cliente deve ser realizado no máximo em 24 horas, se possível imediatamente. 
Este contato deve ser registrado no processo do CRM, bem como a tratativa mais adequada para o caso.
O prazo para solução da insatisfação é 5 dias úteis e todo e qualquer andamento no processo deve ser registrado para que todos os envolvidos tenham acesso as informações



","23/04/2012 15:02:00","VTCCONS","17/04/2023 09:56:00","VANESSA.ALVES","0,0",""
"7","eMail Mkt","E-MAIL MKT - DIA DO AGRICULTOR","28 DE JULHO - DIA DO AGRICULTOR","<html>
<head>
<title>Colorado</title>
<meta http-equiv=""Content-Type"" content=""text/html; charset=iso-8859-1"">
</head>
<body bgcolor=""#FFFFFF"" leftmargin=""0"" topmargin=""0"" marginwidth=""0"" marginheight=""0"">
<!-- Save for Web Slices (colorado.psd) -->
<table width=""800"" height=""1087"" border=""0"" align=""center"" cellpadding=""0"" cellspacing=""0"" id=""Table_01"">
 <tr>
 <td>
 <img src=""http://www.almapropaganda.com.br/colorado-mkt/images/colorado_mkt_01.png"" width=""100"" height=""1087"" alt=""""></td>
 <td>
 <img src=""http://www.almapropaganda.com.br/colorado-mkt/images/colorado_mkt_02.png"" width=""100"" height=""1087"" alt=""""></td>
 <td>
 <img src=""http://www.almapropaganda.com.br/colorado-mkt/images/colorado_mkt_03.png"" width=""100"" height=""1087"" alt=""""></td>
 <td>
 <img src=""http://www.almapropaganda.com.br/colorado-mkt/images/colorado_mkt_04.png"" width=""100"" height=""1087"" alt=""""></td>
 <td>
 <img src=""http://www.almapropaganda.com.br/colorado-mkt/images/colorado_mkt_05.png"" width=""100"" height=""1087"" alt=""""></td>
 <td>
 <img src=""http://www.almapropaganda.com.br/colorado-mkt/images/colorado_mkt_06.png"" width=""100"" height=""1087"" alt=""""></td>
 <td>
 <img src=""http://www.almapropaganda.com.br/colorado-mkt/images/colorado_mkt_07.png"" width=""100"" height=""1087"" alt=""""></td>
 <td>
 <img src=""http://www.almapropaganda.com.br/colorado-mkt/images/colorado_mkt_08.png"" width=""100"" height=""1087"" alt=""""></td>
 </tr>
</table>
<!-- End Save for Web Slices -->
</body>
</html>","26/07/2012 10:13:00","MARCELO.EDER","07/05/2018 10:27:00","MARCELO.EDER","",""
"8","RESULTADOS","Valor Parcial Recebido","","Valor Parcial Recebido:","31/08/2012 13:53:00","VTCCONS","31/08/2012 13:58:00","VTCCONS","",""
"9","RESULTADOS","Valor","","Valor:","31/08/2012 14:37:00","VTCCONS","31/08/2012 14:37:00","VTCCONS","",""
"11","MsCtr_Andamento_EML","Tratamento Insatisfação","TRATAMENTO INSATISFAÇÃO - CLIENTE [AndNomePessoa]","Processo: [AndNroProcesso] - Data: [AndDataRealizacao] - [AndNroEmpresa] 

Cliente: [AndNomePessoa] - [AndSeqPessoa] 

Insatisfação: [AndDescricaoProcesso]

Registro CRM: [AndDescResultado], [AndComplementoResultado]

Tratativa: [AndDetalheAdicional][AndDetalhe]

[AndAssinaturaAtendente]
","31/08/2012 15:43:00","VTCCONS","17/04/2023 10:17:00","VANESSA.ALVES","0,0",""
"12","eMail Mkt","E-MAIL MKT - COLORADO SHOW","VENHA PARTICIPAR DA COLORADO SHOW - FEIRA DE PEÇAS E SERVIÇOS JOHN DEERE","<html>
<head>
<title>3º Colorado Show</title>
<meta http-equiv=""Content-Type"" content=""text/html; charset=iso-8859-1"">
</head>
<body bgcolor=""#FFFFFF"" leftmargin=""0"" topmargin=""0"" marginwidth=""0"" marginheight=""0"">
<!-- Save for Web Slices (ColoradoShow.jpg) -->
<table width=""700"" height=""907"" border=""0"" align=""center"" cellpadding=""0"" cellspacing=""0"" id=""Table_01"">
 <tr>
 <td>
 <img src=""http://www.almapropaganda.com.br/colorado-mkt/images/coloradoshow_01.jpg"" width=""100"" height=""907"" alt=""""></td>
 <td>
 <img src=""http://www.almapropaganda.com.br/colorado-mkt/images/coloradoshow_02.jpg"" width=""100"" height=""907"" alt=""""></td>
 <td>
 <img src=""http://www.almapropaganda.com.br/colorado-mkt/images/coloradoshow_03.jpg"" width=""100"" height=""907"" alt=""""></td>
 <td>
 <img src=""http://www.almapropaganda.com.br/colorado-mkt/images/coloradoshow_04.jpg"" width=""100"" height=""907"" alt=""""></td>
 <td>
 <img src=""http://www.almapropaganda.com.br/colorado-mkt/images/coloradoshow_05.jpg"" width=""100"" height=""907"" alt=""""></td>
 <td>
 <img src=""http://www.almapropaganda.com.br/colorado-mkt/images/coloradoshow_06.jpg"" width=""100"" height=""907"" alt=""""></td>
 <td>
 <img src=""http://www.almapropaganda.com.br/colorado-mkt/images/coloradoshow_07.jpg"" width=""100"" height=""907"" alt=""""></td>
 </tr>
</table>
<!-- End Save for Web Slices -->
</body>
</html>","14/09/2012 14:46:00","MARCELO.EDER","14/09/2012 14:46:00","MARCELO.EDER","",""
"13","eMail Mkt","E-MAIL MKT - DIA DO CLIENTE","DIA DO CLIENTE - COLORADO JOHN DEERE","<html>
<head>
<title>comunicacao</title>
<meta http-equiv=""Content-Type"" content=""text/html; charset=iso-8859-1"">
</head>
<body bgcolor=""#FFFFFF"" leftmargin=""0"" topmargin=""0"" marginwidth=""0"" marginheight=""0"">
<!-- Save for Web Slices (comunicacao.psd) -->
<table width=""700"" height=""700"" border=""0"" align=""center"" cellpadding=""0"" cellspacing=""0"" id=""Table_01"">
 <tr>
 <td>
 <img src=""http://www.almapropaganda.com.br/colorado-mkt/images/comunicacao_01.jpg"" width=""100"" height=""700"" alt=""""></td>
 <td>
 <img src=""http://www.almapropaganda.com.br/colorado-mkt/images/comunicacao_02.jpg"" width=""100"" height=""700"" alt=""""></td>
 <td>
 <img src=""http://www.almapropaganda.com.br/colorado-mkt/images/comunicacao_03.jpg"" width=""100"" height=""700"" alt=""""></td>
 <td>
 <img src=""http://www.almapropaganda.com.br/colorado-mkt/images/comunicacao_04.jpg"" width=""100"" height=""700"" alt=""""></td>
 <td>
 <img src=""http://www.almapropaganda.com.br/colorado-mkt/images/comunicacao_05.jpg"" width=""100"" height=""700"" alt=""""></td>
 <td>
 <img src=""http://www.almapropaganda.com.br/colorado-mkt/images/comunicacao_06.jpg"" width=""100"" height=""700"" alt=""""></td>
 <td>
 <img src=""http://www.almapropaganda.com.br/colorado-mkt/images/comunicacao_07.jpg"" width=""100"" height=""700"" alt=""""></td>
 </tr>
</table>
<!-- End Save for Web Slices -->
</body>
</html>","14/09/2012 15:49:00","MARCELO.EDER","14/09/2012 16:06:00","MARCELO.EDER","",""
"14","MsCtr_Andamento_EML","AVISO NOVA RECLAMAÇÃO","AVISO - INSATISFAÇÃO CLIENTE [AndNomePessoa] NO CRM","Gestores 

Consta uma insatisfação via pesquisa ou registro interno, referente ao cliente [AndNomePessoa] no CRM. Esta atividade está relacionada a uma das áreas: Peças, Serviços ou Vendas de Máquinas. 
Favor consultar se está em sua agenda, caso positivo, entrar em contato com o cliente e buscar uma solução. Lembre-se de registrar no CRM todo o andamento do caso.

Número do processo: [AndNroProcessoDNA]

Vide resumo da insatisfação do cliente:
[AndDetalhe]
[AndDetalheAdicional]

","08/02/2013 13:53:00","MARCELO.EDER","27/09/2013 16:30:00","MARCELO.EDER","",""
"15","MsCtr_Andamento_EML","Cliente Insat. Trein/Clínica","Cliente Insatisfeito Treinamento/Clínica","Você possui um tratamento de insatisfação referente a Treinamento e/ou Clínica pendente em seu CRM. 
Por favor acesse o sistema para dar andamento.","27/06/2014 14:18:00","JULIANA.PLACIDI","27/06/2014 14:18:00","JULIANA.PLACIDI","",""
"16","MsCtr_Andamento_EML","Equipamento Faturado","Equipamento Faturado - Cliente [AndNomePessoa] [AndNroProcesso]","Prezados, o equipamento do cliente [AndNomePessoa] já passou pela etapa de faturamento de acordo com o processo [AndNroProcesso] do vendedor [AndVendedor]. A NF está anexada ao processo dentro do CRM.

Veja o histórico do processo:
[AndDetalhe]","21/07/2014 17:23:00","JULIANA.PLACIDI","23/05/2016 09:25:00","JULIANA.PLACIDI","",""
"17","MsCtr_Andamento_EML","Preparar Doctcao-Credit Negado","Preparar Documentação Máquina de [AndNomePessoa]","<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"">
<html>
<head>
 <meta
 content=""text/html; charset=ISO-8859-1""
 http-equiv=""content-type"">
 <title></title>
</head>
<body>
<p class=""MsoNormal"" style=""""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">Prezado,
[DestNomeCurto] <o:p></o:p></span></p>
<p class=""MsoNormal""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">O&nbsp;equipamento
do Sr(a)&nbsp;[AndNomePessoa], referente ao
processo n&uacute;mero [AndNroProcesso] teve seu cr&eacute;dito
negado junto ao banco. <o:p></o:p></span></p>
<p class=""MsoNormal""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">A
a&ccedil;&atilde;o foi devolvida ao CEN
[andNomeVendedor]&nbsp;na fase
Vender para negocia&ccedil;&atilde;o. <o:p></o:p></span></p>
<p class=""MsoNormal""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">&nbsp;<br>
Atenciosamente,<span style=""""></span><o:p></o:p></span></p>
<p class=""MsoNormal""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">[AndNomeReduzidoAtendente]
<br>
[AndEmailAtendente]<br>
Visite nosso site: </span><a
 href=""http://www.coloradomaquinas.com.br/""><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);"">www.coloradomaquinas.com.br</span></a><span
 style=""font-size: 11pt; font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; color: rgb(0, 51, 0);""><o:p></o:p></span></p>
</body>
</html>
","12/01/2015 10:53:00","VTCCONS","13/01/2015 17:31:00","VTCCONS","0,0",""
