"Pessoalink","Origem","SeqPessoa","PessoaLinkNro"
"100238","ERP","8647","100238"
"100549","ERP","4107","100549"
"100596","ERP","4154","100596"
"100665","ERP","4223","100665"
"100815","ERP","4373","100815"
"101038","ERP","38849","101038"
"101850","ERP","42148","101850"
"101952","ERP","37949","101952"
"102008","ERP","11966","102008"
"102312","ERP","31743","102312"
"102328","ERP","38697","102328"
"103119","ERP","15527","103119"
"103140","ERP","30028","103140"
"103221","ERP","39015","103221"
"103241","ERP","38466","103241"
"103403","ERP","34178","103403"
"103495","ERP","38408","103495"
"103518","ERP","18086","103518"
"103561","ERP","12332","103561"
"103753","ERP","38789","103753"
"103763","ERP","13823","103763"
"103833","ERP","13019","103833"
"104716","ERP","38878","104716"
"104739","ERP","38942","104739"
"104743","ERP","38931","104743"
"104754","ERP","38912","104754"
"104767","ERP","38997","104767"
"104768","ERP","38897","104768"
"104783","ERP","38966","104783"
"104882","ERP","39052","104882"
"104886","ERP","39049","104886"
"104890","ERP","39073","104890"
"104894","ERP","38853","104894"
"105011","ERP","39072","105011"
"105557","ERP","38977","105557"
"10562","PES_JUNCAO","30078","10562"
"10594","PES_JUNCAO","39031","10594"
"13701","PES_JUNCAO","145","13701"
"1465","ERP","5672","1465"
"15592","PES_JUNCAO","9735","15592"
"1597","ERP","5786","1597"
"1615","ERP","5804","1615"
"1689","ERP","5855","1689"
"1706","ERP","5872","1706"
"1734","ERP","5900","1734"
"1763","ERP","5929","1763"
"1875","ERP","8738","1875"
"19579","PES_JUNCAO","38408","19579"
"1977","ERP","8840","1977"
"20111221094228_113","COLORADO","116",""
"20111221094228_68","COLORADO","37475",""
"20111221094228_86","COLORADO","15527",""
"20111221094229_142","COLORADO","145",""
"20111221094230_277","COLORADO","280",""
"20111221094258_2123","COLORADO","4107",""
"20111221094303_2379","COLORADO","2377",""
"20111221094307_2546","COLORADO","2544",""
"20111221094315_2945","COLORADO","2943",""
"20111221094315_2947","COLORADO","2945",""
"20111221094319_3110","COLORADO","3108",""
"20111221094338_3949","COLORADO","3945",""
"20111221094338_3971","COLORADO","280",""
"20111221094341_4111","COLORADO","4107",""
"20111221094342_4158","COLORADO","4154",""
"20111221094344_4227","COLORADO","4223",""
"20111221094347_4377","COLORADO","4373",""
"20111221094359_4899","COLORADO","4895",""
"20111221094400_4981","COLORADO","4977",""
"20111221094402_5040","COLORADO","5031",""
"20111221094416_5685","COLORADO","5672",""
"20111221094418_5800","COLORADO","5786",""
"20111221094419_5818","COLORADO","5804",""
"20111221094420_5869","COLORADO","5855",""
"20111221094420_5886","COLORADO","5872",""
"20111221094421_5914","COLORADO","5900",""
"20111221094422_5943","COLORADO","5929",""
"20111221094424_6038","COLORADO","11096",""
"20111221094426_6163","COLORADO","6149",""
"20111221094432_6439","COLORADO","280",""
"20111221094440_6804","COLORADO","4107",""
"20111221094447_7125","COLORADO","7111",""
"20111221094450_7231","COLORADO","7217",""
"20111221094509_8126","COLORADO","8105",""
"20111221094521_8669","COLORADO","8647",""
"20111221094523_8760","COLORADO","8738",""
"20111221094525_8862","COLORADO","8840",""
"20111221094526_8907","COLORADO","8885",""
"20111221094528_8968","COLORADO","8946",""
"20111221094532_9167","COLORADO","9143",""
"20111221094545_9759","COLORADO","9735",""
"2087","ERP","8946","2087"
"2121","PES_JUNCAO","4107","2121"
"21646","PES_JUNCAO","39031","21646"
"2288","ERP","9143","2288"
"23648","PES_JUNCAO","37475","23648"
"2381","ERP","4223","2381"
"25827","PES_JUNCAO","38466","25827"
"28341","PES_JUNCAO","39014","28341"
"3430","ERP","4895","3430"
"3967","PES_JUNCAO","280","3967"
"3972","ERP","8105","3972"
"4618","ERP","4977","4618"
"4677","ERP","5031","4677"
"5609","ERP","9735","5609"
"5967","ERP","2943","5967"
"5969","ERP","2945","5969"
"6024","PES_JUNCAO","11096","6024"
"6221","ERP","7111","6221"
"6327","ERP","7217","6327"
"6364","ERP","2544","6364"
"6425","PES_JUNCAO","280","6425"
"6790","PES_JUNCAO","4107","6790"
"6903","ERP","39056","6903"
"7159","ERP","39013","7159"
"7298","ERP","11096","7298"
"7423","ERP","6149","7423"
"7958","ERP","37475","7958"
"8003","ERP","116","8003"
"8032","ERP","145","8032"
"8167","ERP","280","8167"
"8605","ERP","4107","8605"
"9365","ERP","2544","9365"
