"tabela","coluna","especie","detalhe","persistida"
"CBR_CLIENTECONTA","SEQCBRCLIENTECONTA","IDENTITY","semente=1; incremento=1; ultimo=",""
"CONTAS2","SEQ","IDENTITY","semente=1; incremento=1; ultimo=1003",""
"GE_LgTb","SEQLOGTB","IDENTITY","semente=1; incremento=1; ultimo=147931490",""
"GE_LOG_CARTCRED","SEQLOGTB","IDENTITY","semente=1; incremento=1; ultimo=",""
"GE_LOG_CONFIG","SEQLOGTB","IDENTITY","semente=1; incremento=1; ultimo=110332",""
"GE_LOG_CONTATO","SEQLOGTB","IDENTITY","semente=1; incremento=1; ultimo=19925",""
"GE_LOG_EXT","SEQLOGTB","IDENTITY","semente=1; incremento=1; ultimo=622641",""
"GE_LOG_HISTORICO","SEQLOGTB","IDENTITY","semente=1; incremento=1; ultimo=1048410",""
"GE_LOG_PESSOA","SEQLOGTB","IDENTITY","semente=1; incremento=1; ultimo=962488",""
"GE_LOG_PROCESSO","SEQLOGTB","IDENTITY","semente=1; incremento=1; ultimo=14866331",""
"GE_LOG_TRANS","SEQLOGTB","IDENTITY","semente=1; incremento=1; ultimo=803682",""
"GE_Log2","SEQLOG","IDENTITY","semente=1; incremento=1; ultimo=4651782",""
"GE_PesDelVinc","SeqPesDelVinc","IDENTITY","semente=1; incremento=1; ultimo=",""
"GE_PessoaAlt","SeqPessoaAlt","IDENTITY","semente=1; incremento=1; ultimo=",""
"GE_PessoaEndAlt","SeqPessoaEndAlt","IDENTITY","semente=1; incremento=1; ultimo=",""
"GE_PessoaLink","SEQPESSOALINK","IDENTITY","semente=1; incremento=1; ultimo=138582",""
"GE_PessoaLink_ITA","SEQPESSOALINK","IDENTITY","semente=1; incremento=1; ultimo=24864",""
"GE_PROCESSOWEB","SEQUSUARIOAPPRESP","IDENTITY","semente=1; incremento=1; ultimo=",""
"GE_URACENARIO","SEQURACENARIO","IDENTITY","semente=1; incremento=1; ultimo=",""
"GEP_EMailSend","SEQEMAILSEND","IDENTITY","semente=1; incremento=1; ultimo=667824",""
"GEP_EMAILSENDREL","SEQEMAILSENDREL","IDENTITY","semente=1; incremento=1; ultimo=",""
"GEP_EMAILSENTREL","SEQEMAILSENTREL","IDENTITY","semente=1; incremento=1; ultimo=",""
"GEP_Fila","SEQFILA","IDENTITY","semente=1; incremento=1; ultimo=38199329",""
"GEP_Import","Seq","IDENTITY","semente=1; incremento=1; ultimo=269024",""
"GEP_Import_bkpjun","Seq","IDENTITY","semente=1; incremento=1; ultimo=502009",""
"GEP_IMPORT_GUI","Seq","IDENTITY","semente=1; incremento=1; ultimo=188222",""
"GEP_ImportAprovacao","Seq","IDENTITY","semente=1; incremento=1; ultimo=5000",""
"GEP_SyncUsrSat","SEQSYNCUSRSAT","IDENTITY","semente=1; incremento=1; ultimo=17552693",""
"IMP_EMAIL","IDEMAIL","IDENTITY","semente=1; incremento=1; ultimo=",""
"IMP_Evento","IdEvento","IDENTITY","semente=1; incremento=1; ultimo=",""
"IMP_FORMAPGTO","IdFormaPgto","IDENTITY","semente=1; incremento=1; ultimo=",""
"IMP_LOGAPROVACAO","Seq","IDENTITY","semente=1; incremento=1; ultimo=",""
"IMP_NFS","IdNFS","IDENTITY","semente=1; incremento=1; ultimo=159731",""
"IMP_NFSCMPL","Idcmpl","IDENTITY","semente=1; incremento=1; ultimo=",""
