"tabela","indice","tipo","pk","unico","constraint_unica","colunas","incluidas","filtro","desabilitado"
"CBR_CLIENTECONTA","PK__CBR_CLIE__29303D1F283A142C","CLUSTERED","True","True","False","[SEQCBRCLIENTECONTA]","","","False"
"CBR_CLIENTECONTA","IDX_CBR_CLIENTECONTA_CPF","NONCLUSTERED","False","False","False","[CPF]","","","False"
"CLARITY_BINA","IDX_CLARITY_BINA_0","NONCLUSTERED","False","False","False","[RAMAL]","","","False"
"CONTAS","CONTASX1","NONCLUSTERED","False","False","False","[codconta1]","","","False"
"CONTAS","CONTASX3","NONCLUSTERED","False","False","False","[codconta3]","","","False"
"CONTAS","CONTASX2","NONCLUSTERED","False","False","False","[codconta2]","","","False"
"DMN_Doc","PK__DMN_Doc__E97A788829326739","CLUSTERED","True","True","False","[SeqDocto]","","","False"
"DMN_Doc","DMN_DocPK","NONCLUSTERED","False","True","False","[SeqDocto]","","","False"
"DMN_Doc","DMN_DocIF1","NONCLUSTERED","False","False","False","[SeqDocTp]","","","False"
"DMN_DocArq","PK__DMN_DocA__E97A7888DE14F885","CLUSTERED","True","True","False","[SeqDocto]","","","False"
"DMN_DocArq","DMN_DocArqPK","NONCLUSTERED","False","True","False","[SeqDocto]","","","False"
"DMN_DocHst","PK__DMN_DocH__AED5C93A318CF887","CLUSTERED","True","True","False","[SeqDocto], [SeqDH]","","","False"
"DMN_DocHst","DMN_DocHstPK","NONCLUSTERED","False","True","False","[SeqDocto], [SeqDH]","","","False"
"DMN_DocHst","DMN_DocHstIF1","NONCLUSTERED","False","False","False","[SeqDocto]","","","False"
"DMN_DocObs","PK__DMN_DocO__E97A7888D2D8F196","CLUSTERED","True","True","False","[SeqDocto]","","","False"
"DMN_DocObs","DMN_DocObsPK","NONCLUSTERED","False","True","False","[SeqDocto]","","","False"
"DMN_DocPes","PK__DMN_DocP__3DE3070415A7C5CC","CLUSTERED","True","True","False","[SeqPessoa], [SeqDocto]","","","False"
"DMN_DocPes","DMN_DocPesPK","NONCLUSTERED","False","True","False","[SeqPessoa], [SeqDocto]","","","False"
"DMN_DocPes","DMN_DocPesIF1","NONCLUSTERED","False","False","False","[SeqPessoa]","","","False"
"DMN_DocPes","DMN_DocPesIF2","NONCLUSTERED","False","False","False","[SeqDocto]","","","False"
"DMN_DocProj","PK__DMN_DocP__5308B81253E3BBAA","CLUSTERED","True","True","False","[SeqProjeto], [SeqDocto]","","","False"
"DMN_DocProj","DMN_DocProjPK","NONCLUSTERED","False","True","False","[SeqProjeto], [SeqDocto]","","","False"
"DMN_DocProj","DMN_DocProjIF1","NONCLUSTERED","False","False","False","[SeqDocto]","","","False"
"DMN_DocProj","DMN_DocProjIF2","NONCLUSTERED","False","False","False","[SeqProjeto]","","","False"
"DMN_DocProp","PK__DMN_DocP__D2DA107CC086AAB1","CLUSTERED","True","True","False","[SeqPropPessoa], [SeqDocto]","","","False"
"DMN_DocProp","DMN_DocPropPK","NONCLUSTERED","False","True","False","[SeqPropPessoa], [SeqDocto]","","","False"
"DMN_DocProp","DMN_DocPropIF1","NONCLUSTERED","False","False","False","[SeqDocto]","","","False"
"DMN_DocProp","DMN_DocPropIF2","NONCLUSTERED","False","False","False","[SeqPropPessoa]","","","False"
"DMN_DocTp","PK__DMN_DocT__E97B64A7F5B63030","CLUSTERED","True","True","False","[SeqDocTp]","","","False"
"DMN_DocTp","DMN_DocTpPK","NONCLUSTERED","False","True","False","[SeqDocTp]","","","False"
"DMN_DocVrs","PK__DMN_DocV__DBB20EF31CAEE4E2","CLUSTERED","True","True","False","[SeqDocto], [SeqVrs]","","","False"
"DMN_DocVrs","DMN_DocVrsPK","NONCLUSTERED","False","True","False","[SeqDocto], [SeqVrs]","","","False"
"DMN_DocVrs","DMN_DocVrsIF1","NONCLUSTERED","False","False","False","[SeqDocto]","","","False"
"EXT_APROVACAO","PK_EXT_APROVACAO","CLUSTERED","True","True","False","[PROCESSO]","","","False"
"EXT_EMAIL","PK__EXT_EMAI__B4CA2AEB2641D59D","CLUSTERED","True","True","False","[IDEMAIL]","","","False"
"EXT_EMAIL","IDX_EXT_EMAIL_0","NONCLUSTERED","False","False","False","[EMAILLINK]","","","False"
"EXT_EMAIL","IDX_EXT_EMAIL","NONCLUSTERED","False","False","False","[SEQPESSOA]","","","False"
"EXT_EMAIL","IDX_EXT_EMAIL_1","NONCLUSTERED","False","False","False","[SEQEMAIL]","","","False"
"EXT_FormaPgto","PK__EXT_Form__70BCFB7F457DBACC","CLUSTERED","True","True","False","[IdNFS], [IdFormaPgto]","","","False"
"EXT_FormaPgto","EXT_FORMAPGTOIF1","NONCLUSTERED","False","False","False","[IdNFS]","","","False"
"EXT_NFS","PK__EXT_NFS__0DD2EFAB5EEAC422","CLUSTERED","True","True","False","[IdNFS]","","","False"
"EXT_NFS","EXT_NFSIE4","NONCLUSTERED","False","False","False","[Origem], [NroEmpresa], [NroNF]","","","False"
"EXT_NFS","XIE2EXT_NFS","NONCLUSTERED","False","False","False","[Processar], [StatusDWH]","","","False"
"EXT_NFS","XIE3EXT_NFS","NONCLUSTERED","False","False","False","[DtaEmissaoNF]","","","False"
"EXT_NFS","IDX_EXT_NFS","NONCLUSTERED","False","False","False","[IdVeic]","","","False"
"EXT_NFS","IDX_EXT_NFS_0","NONCLUSTERED","False","False","False","[SeqPessoa]","","","False"
"EXT_NFS","IDX_EXT_NFS_1","NONCLUSTERED","False","False","False","[IdNFSOper]","","","False"
"EXT_NFS","XIF4EXT_NFS","NONCLUSTERED","False","False","False","[IdVendedor]","","","False"
"EXT_NFS","XIF5EXT_NFS","NONCLUSTERED","False","False","False","[SeqDepto]","","","False"
"EXT_NFS","IDX_EXT_NFS_2","NONCLUSTERED","False","False","False","[IDNFSEXTERNO]","","","False"
"EXT_NFS","IDX_EXT_NFS_3","NONCLUSTERED","False","False","False","[PAIIDNFSEXTERNO]","","","False"
"EXT_NFS","EXT_NFS_IdNFS_IDX_Empresa_NRO_NF_Serie","NONCLUSTERED","False","False","False","[IdNFS], [NroEmpresa], [NroNF], [SerieNF]","","","False"
"EXT_NFSCmpl","PK__EXT_NFSC__6EB51BBB2FCB34E2","CLUSTERED","True","True","False","[IdNFS], [Idcmpl]","","","False"
"EXT_NFSCmpl","EXT_NFSCMPLIF1","NONCLUSTERED","False","False","False","[IdNFS]","","","False"
"EXT_NFSItem","PK__EXT_NFSI__38CC6B8D9301B2E0","CLUSTERED","True","True","False","[IdNFS], [IdItem]","","","False"
"EXT_NFSItem","EXT_NFSITEMIF1","NONCLUSTERED","False","False","False","[IdNFS]","","","False"
"EXT_NFSItem","XIF2EXT_NFSItem","NONCLUSTERED","False","False","False","[IdProduto]","","","False"
"EXT_NFSItem","XIF3EXT_NFSItem","NONCLUSTERED","False","False","False","[IdVendedor]","","","False"
"EXT_NFSItem","XIF4EXT_NFSItem","NONCLUSTERED","False","False","False","[SeqDepto]","","","False"
"EXT_NFSOper","PK__EXT_NFSO__F97DD5D906F158BE","CLUSTERED","True","True","False","[IdNFSOper]","","","False"
"EXT_NFSOper","XIE1EXT_NFSOper","NONCLUSTERED","False","False","False","[CodOperacao]","","","False"
"EXT_NFSOper","XIF1EXT_NFSOper","NONCLUSTERED","False","False","False","[SeqDepto]","","","False"
"EXT_NFSOperEmp","PK__EXT_NFSO__C207E533738F740F","CLUSTERED","True","True","False","[NroEmpresa], [IdNFSOper]","","","False"
"EXT_NFSOperEmp","IDX_EXT_NFSOPEMPR","NONCLUSTERED","False","False","False","[IdNFSOper]","","","False"
"EXT_NFSOperEmp","IDX_EXT_NFSOPEMPR_0","NONCLUSTERED","False","False","False","[SeqDepto]","","","False"
"EXT_OS","PK__EXT_OS__B87C231D41A98A61","CLUSTERED","True","True","False","[IDOS]","","","False"
"EXT_OS","EXT_OSAK1","NONCLUSTERED","False","False","False","[Origem], [NroEmpresa], [Nroos]","","","False"
"EXT_OS","IDX_EXT_OS","NONCLUSTERED","False","False","False","[IdVeic]","","","False"
"EXT_OS","IDX_EXT_OS_SEQP","NONCLUSTERED","False","False","False","[SeqPessoa]","","","False"
"EXT_OS","XIF3EXT_OS","NONCLUSTERED","False","False","False","[SeqDepto]","","","False"
"EXT_OS","IDX_EXT_OS_0","NONCLUSTERED","False","False","False","[IDOSEXTERNO]","","","False"
"EXT_OSITEM","PK__EXT_OSIT__4463D2A83E06D9B4","CLUSTERED","True","True","False","[IDOS], [IDITEM]","","","False"
"EXT_OSITEM","EXT_OSITEMIF1","NONCLUSTERED","False","False","False","[IDOS]","","","False"
"EXT_OSITEM","IDX_EXT_OSITEM","NONCLUSTERED","False","False","False","[IDOSEXTERNO]","","","False"
"EXT_OSSolic","PK__EXT_OSSo__6CEDE1F4BAB11998","CLUSTERED","True","True","False","[IDOS], [Idsolic]","","","False"
"EXT_OSSolic","EXT_OSSOLICIF1","NONCLUSTERED","False","False","False","[IDOS]","","","False"
"EXT_Pedido","PK__EXT_Pedi__9D335DC34DE7BBA1","CLUSTERED","True","True","False","[IdPedido]","","","False"
"EXT_Pedido","XPKEXT_Pedido","NONCLUSTERED","False","True","False","[IdPedido]","","","False"
"EXT_Pedido","XIE1EXT_Pedido","NONCLUSTERED","False","False","False","[Pessoalink], [PessoaLinkOrigem]","","","False"
"EXT_Pedido","XIE2EXT_Pedido","NONCLUSTERED","False","False","False","[NroCNPJCPF]","","","False"
"EXT_Pedido","XIE3EXT_Pedido","NONCLUSTERED","False","False","False","[NroPedido]","","","False"
"EXT_Pedido","XIE4EXT_Pedido","NONCLUSTERED","False","False","False","[DtaPedido]","","","False"
"EXT_Pedido","XIE5EXT_Pedido","NONCLUSTERED","False","False","False","[NroPedido], [NroEmpresa], [Origem]","","","False"
"EXT_Pedido","XIF1EXT_Pedido","NONCLUSTERED","False","False","False","[SeqPessoa]","","","False"
"EXT_Pedido","XIF2EXT_Pedido","NONCLUSTERED","False","False","False","[IdPessoa]","","","False"
"EXT_PedidoItem","PK__EXT_Pedi__BFC6373614BD8AC7","CLUSTERED","True","True","False","[IdPedido], [SeqItem]","","","False"
"EXT_PedidoItem","XPKEXT_PedidoItem","NONCLUSTERED","False","True","False","[IdPedido], [SeqItem]","","","False"
"EXT_PedidoItem","XIF2EXT_PedidoItem","NONCLUSTERED","False","False","False","[IdProduto]","","","False"
"EXT_PedidoItem","XIF3EXT_PedidoItem","NONCLUSTERED","False","False","False","[IdPedido]","","","False"
"EXT_Pessoa","PK__EXT_Pess__7061465DBCF5E474","CLUSTERED","True","True","False","[IdPessoa]","","","False"
"EXT_Pessoa","EXT_PESSOAIE3_0x","NONCLUSTERED","False","False","False","[PessoaLinkOrigem], [Pessoalink]","","","False"
"EXT_Pessoa","EXT_PESSOAIE4_0x","NONCLUSTERED","False","False","False","[NroCNPJCPF]","","","False"
"EXT_Pessoa","IDX_EXT_PESSOA","NONCLUSTERED","False","False","False","[StatusIMP], [DtaGeracao]","","","False"
"EXT_Pessoa","XIF1EXT_Pessoa","NONCLUSTERED","False","False","False","[SeqPessoa]","","","False"
"EXT_PESSOACONTATO","PK__EXT_PESS__4F435473B021655B","CLUSTERED","True","True","False","[IDPESSOACTTO]","","","False"
"EXT_PESSOACONTATO","IDX_EXT_PESSOACONTATO","NONCLUSTERED","False","False","False","[SEQPESSOA]","","","False"
"EXT_PESSOACONTATO","IDX_EXT_PESSOACONTATO_0","NONCLUSTERED","False","False","False","[SEQCONTATO]","","","False"
"EXT_PESSOAFONE","PK__EXT_PESS__4EBB238807B17403","CLUSTERED","True","True","False","[IDPESSOAFONE]","","","False"
"EXT_Pot_Pecas","PK_EXT_Pot_Pecas","CLUSTERED","True","True","False","[SEQ]","","","False"
"EXT_Produto","PK__EXT_Prod__2E883C23F4043BB4","CLUSTERED","True","True","False","[IdProduto]","","","False"
"EXT_Produto","EXT_PRODUTOAK1","NONCLUSTERED","False","False","False","[CodProduto]","","","False"
"EXT_Produto","IDX_EXT_PRODUTO","NONCLUSTERED","False","False","False","[CodProduto], [ORIGEM], [Tipo]","","","False"
"EXT_Produto","IDX_EXT_PRODUTO_ERP","NONCLUSTERED","False","False","False","[CHAVEPRODUTOERP]","","","False"
"EXT_TIT_ACRESC","PK_EXT_TIT_ACRESC","CLUSTERED","True","True","False","[LINKSTR]","","","False"
"EXT_TIT_ACRESC","EXT_TIT_ACRESC_01","NONCLUSTERED","False","False","False","[LINKSTR]","","","False"
"EXT_Titulo","PK__EXT_Titu__A3113E575E097FF1","CLUSTERED","True","True","False","[idTitulo]","","","False"
"EXT_Titulo","EXT_TITULOIE1","NONCLUSTERED","False","False","False","[LinkNro]","","","False"
