"tabela","coluna","tipo","valor","qtd","pct","amostrada"
"DMN_Doc","Status","char","N","71488","100","False"
"DMN_DocHst","TipoMov","varchar","LEITURA","114734","60,5","False"
"DMN_DocHst","TipoMov","varchar","CHECKIN","74917","39,5","False"
"DMN_DocTp","Formato","varchar","DIG","97","89,81","False"
"DMN_DocTp","Formato","varchar","IMG","11","10,19","False"
"DMN_DocTp","TrocaPropriedade","char","(NULO)","88","81,48","False"
"DMN_DocTp","TrocaPropriedade","char","N","18","16,67","False"
"DMN_DocTp","TrocaPropriedade","char","T","1","0,93","False"
"DMN_DocTp","TrocaPropriedade","char","C","1","0,93","False"
"EXT_NFS","TipoVenda","varchar","NORMAL","390755","100","False"
"EXT_NFS","Situacao","char","N","379603","97,15","False"
"EXT_NFS","Situacao","char","C","11080","2,84","False"
"EXT_NFS","Situacao","char","D","72","0,02","False"
"EXT_NFS","StatusDWH","numeric","0","390562","99,95","False"
"EXT_NFS","StatusDWH","numeric","1","193","0,05","False"
"EXT_NFS","IndEstorno","numeric","0","390755","100","False"
"EXT_NFS","TIPOPEDIDO","varchar","(NULO)","390755","100","False"
"EXT_NFSItem","Situacao","char","N","1250999","96,22","False"
"EXT_NFSItem","Situacao","char","C","49050","3,77","False"
"EXT_NFSItem","Situacao","char","D","77","0,01","False"
"EXT_NFSItem","IndEstorno","numeric","0","1300126","100","False"
"EXT_NFSItem","StatusDWH","numeric","0","1300126","100","False"
"EXT_NFSOper","EntradaSaida","char","S","241","100","False"
"EXT_NFSOper","IndEstorno","numeric","0","241","100","False"
"EXT_NFSOper","FormaLeitura","char","I","239","99,17","False"
"EXT_NFSOper","FormaLeitura","char","S","1","0,41","False"
"EXT_NFSOper","FormaLeitura","char","P","1","0,41","False"
"EXT_OS","TipoOS","varchar","(VAZIO)","8099","100","False"
"EXT_OS","StatusDWH","numeric","0","8099","100","False"
"EXT_OS","SITUACAO","char","A","5436","67,12","False"
"EXT_OS","SITUACAO","char","F","2642","32,62","False"
"EXT_OS","SITUACAO","char","C","21","0,26","False"
"EXT_OS","TIPOSERVICO","varchar","(VAZIO)","8099","100","False"
"EXT_OSITEM","TIPOITEM","char","","182238","100","False"
"EXT_OSITEM","STATUSITEM","char","","182238","100","False"
"EXT_Pessoa","Status","char","A","33192","57,03","False"
"EXT_Pessoa","Status","char","P","23565","40,49","False"
"EXT_Pessoa","Status","char","S","1442","2,48","False"
"EXT_Pessoa","Status","char","O","5","0,01","False"
"EXT_Pessoa","FisicaJuridica","char","F","32872","56,48","False"
"EXT_Pessoa","FisicaJuridica","char","J","23660","40,65","False"
"EXT_Pessoa","FisicaJuridica","char","","1672","2,87","False"
"EXT_Pessoa","SEXO","char","","35670","61,28","False"
"EXT_Pessoa","SEXO","char","M","14341","24,64","False"
"EXT_Pessoa","SEXO","char","J","7739","13,3","False"
"EXT_Pessoa","SEXO","char","F","446","0,77","False"
"EXT_Pessoa","SEXO","char","O","8","0,01","False"
"EXT_Pessoa","UF","varchar","SP","36792","63,21","False"
"EXT_Pessoa","UF","varchar","(VAZIO)","18611","31,98","False"
"EXT_Pessoa","UF","varchar","MG","923","1,59","False"
"EXT_Pessoa","UF","varchar","GO","370","0,64","False"
"EXT_Pessoa","UF","varchar","MS","205","0,35","False"
"EXT_Pessoa","UF","varchar","PR","182","0,31","False"
"EXT_Pessoa","UF","varchar","PA","154","0,26","False"
"EXT_Pessoa","UF","varchar","ES","142","0,24","False"
"EXT_Pessoa","UF","varchar","RS","142","0,24","False"
"EXT_Pessoa","UF","varchar","RJ","109","0,19","False"
"EXT_Pessoa","UF","varchar","MT","107","0,18","False"
"EXT_Pessoa","UF","varchar","BA","98","0,17","False"
"EXT_Pessoa","UF","varchar","MA","71","0,12","False"
"EXT_Pessoa","UF","varchar","SC","69","0,12","False"
"EXT_Pessoa","UF","varchar","TO","50","0,09","False"
"EXT_Pessoa","UF","varchar","CE","33","0,06","False"
"EXT_Pessoa","UF","varchar","AM","28","0,05","False"
"EXT_Pessoa","UF","varchar","DF","27","0,05","False"
"EXT_Pessoa","UF","varchar","PI","17","0,03","False"
"EXT_Pessoa","UF","varchar","RO","12","0,02","False"
"EXT_Pessoa","UF","varchar","RN","11","0,02","False"
"EXT_Pessoa","UF","varchar","PE","8","0,01","False"
