"login","type_desc","is_disabled","create_date","modify_date","default_database_name"
"bulkadmin","SERVER_ROLE","False","13/04/2009 12:59:06","13/04/2009 12:59:06",""
"dbcreator","SERVER_ROLE","False","13/04/2009 12:59:06","13/04/2009 12:59:06",""
"diskadmin","SERVER_ROLE","False","13/04/2009 12:59:06","13/04/2009 12:59:06",""
"processadmin","SERVER_ROLE","False","13/04/2009 12:59:06","13/04/2009 12:59:06",""
"public","SERVER_ROLE","False","13/04/2009 12:59:06","13/04/2009 12:59:06",""
"securityadmin","SERVER_ROLE","False","13/04/2009 12:59:06","13/04/2009 12:59:06",""
"serveradmin","SERVER_ROLE","False","13/04/2009 12:59:06","13/04/2009 12:59:06",""
"setupadmin","SERVER_ROLE","False","13/04/2009 12:59:06","13/04/2009 12:59:06",""
"sysadmin","SERVER_ROLE","False","13/04/2009 12:59:06","13/04/2009 12:59:06",""
"CRM_Leitura","SQL_LOGIN","False","05/05/2023 14:19:37","03/06/2026 11:33:29","CRM"
"sa","SQL_LOGIN","False","08/04/2003 09:10:35","15/02/2024 12:22:55","master"
