"principal","tipo_principal","classe","permissao","estado","objeto","minor_id"
"crm","SQL_USER","DATABASE","CONNECT","GRANT","(banco)","0"
"crm","SQL_USER","OBJECT_OR_COLUMN","EXECUTE","GRANT","dbo.X_TOTVS_ATUA_BI_FATURAMENTO_POS_VENDAS","0"
"CRM_Leitura","SQL_USER","DATABASE","CONNECT","GRANT","(banco)","0"
"CRM_Leitura","SQL_USER","DATABASE","VIEW DEFINITION","GRANT","(banco)","0"
"dbo","WINDOWS_USER","DATABASE","CONNECT","GRANT","(banco)","0"
"geosiga","SQL_USER","DATABASE","ALTER ANY APPLICATION ROLE","DENY","(banco)","0"
"geosiga","SQL_USER","DATABASE","ALTER ANY USER","DENY","(banco)","0"
"geosiga","SQL_USER","DATABASE","BACKUP DATABASE","DENY","(banco)","0"
"geosiga","SQL_USER","DATABASE","BACKUP LOG","DENY","(banco)","0"
"geosiga","SQL_USER","DATABASE","CONNECT","GRANT","(banco)","0"
"geosiga","SQL_USER","DATABASE","CREATE PROCEDURE","DENY","(banco)","0"
"geosiga","SQL_USER","DATABASE","CREATE REMOTE SERVICE BINDING","DENY","(banco)","0"
"geosiga","SQL_USER","DATABASE","CREATE ROLE","DENY","(banco)","0"
"geosiga","SQL_USER","DATABASE","CREATE ROUTE","DENY","(banco)","0"
"geosiga","SQL_USER","DATABASE","CREATE RULE","DENY","(banco)","0"
"geosiga","SQL_USER","DATABASE","CREATE SCHEMA","DENY","(banco)","0"
"geosiga","SQL_USER","DATABASE","CREATE SERVICE","DENY","(banco)","0"
"geosiga","SQL_USER","DATABASE","CREATE TABLE","DENY","(banco)","0"
"geosiga","SQL_USER","DATABASE","CREATE TYPE","DENY","(banco)","0"
"geosiga","SQL_USER","DATABASE","TAKE OWNERSHIP","DENY","(banco)","0"
"geosiga","SQL_USER","OBJECT_OR_COLUMN","TAKE OWNERSHIP","DENY","dbo.IV$PESSOA_GEOSIGA","0"
"guest","SQL_USER","OBJECT_OR_COLUMN","EXECUTE","DENY","dbo.sp_helpdiagrams","0"
"guest","SQL_USER","OBJECT_OR_COLUMN","EXECUTE","DENY","dbo.sp_helpdiagramdefinition","0"
"guest","SQL_USER","OBJECT_OR_COLUMN","EXECUTE","DENY","dbo.sp_creatediagram","0"
"guest","SQL_USER","OBJECT_OR_COLUMN","EXECUTE","DENY","dbo.fn_diagramobjects","0"
"guest","SQL_USER","OBJECT_OR_COLUMN","EXECUTE","DENY","dbo.sp_dropdiagram","0"
"guest","SQL_USER","OBJECT_OR_COLUMN","EXECUTE","DENY","dbo.sp_renamediagram","0"
"guest","SQL_USER","OBJECT_OR_COLUMN","EXECUTE","DENY","dbo.sp_alterdiagram","0"
"matheus.admin","SQL_USER","DATABASE","CONNECT","GRANT","(banco)","0"
"public","DATABASE_ROLE","DATABASE","VIEW ANY COLUMN ENCRYPTION KEY DEFINITION","GRANT","(banco)","0"
"public","DATABASE_ROLE","DATABASE","VIEW ANY COLUMN MASTER KEY DEFINITION","GRANT","(banco)","0"
"public","DATABASE_ROLE","OBJECT_OR_COLUMN","EXECUTE","GRANT","dbo.sp_dropdiagram","0"
"public","DATABASE_ROLE","OBJECT_OR_COLUMN","EXECUTE","GRANT","dbo.sp_alterdiagram","0"
"public","DATABASE_ROLE","OBJECT_OR_COLUMN","EXECUTE","GRANT","dbo.fn_diagramobjects","0"
"public","DATABASE_ROLE","OBJECT_OR_COLUMN","EXECUTE","GRANT","dbo.sp_renamediagram","0"
"public","DATABASE_ROLE","OBJECT_OR_COLUMN","EXECUTE","GRANT","dbo.sp_creatediagram","0"
"public","DATABASE_ROLE","OBJECT_OR_COLUMN","EXECUTE","GRANT","dbo.sp_helpdiagramdefinition","0"
"public","DATABASE_ROLE","OBJECT_OR_COLUMN","EXECUTE","GRANT","dbo.sp_helpdiagrams","0"
"public","DATABASE_ROLE","OBJECT_OR_COLUMN","SELECT","GRANT","sys.external_table_columns","0"
"public","DATABASE_ROLE","OBJECT_OR_COLUMN","SELECT","GRANT","sys.external_languages","0"
"public","DATABASE_ROLE","OBJECT_OR_COLUMN","SELECT","GRANT","sys.external_language_files","0"
"public","DATABASE_ROLE","OBJECT_OR_COLUMN","SELECT","GRANT","sys.pdw_materialized_view_column_distribution_properties","0"
"public","DATABASE_ROLE","OBJECT_OR_COLUMN","SELECT","GRANT","sys.pdw_materialized_view_distribution_properties","0"
"public","DATABASE_ROLE","OBJECT_OR_COLUMN","SELECT","GRANT","sys.pdw_materialized_view_mappings","0"
"public","DATABASE_ROLE","OBJECT_OR_COLUMN","SELECT","GRANT","sys.sql_feature_restrictions","0"
"public","DATABASE_ROLE","OBJECT_OR_COLUMN","SELECT","GRANT","sys.external_library_setup_errors","0"
