"principal_id","principal","type_desc","default_schema_name","create_date","modify_date","is_fixed_role","authentication_type_desc","owning_principal_id"
"16385","db_accessadmin","DATABASE_ROLE","","08/04/2003 09:10:42","14/10/2005 01:36:25","True","NONE","1"
"16389","db_backupoperator","DATABASE_ROLE","","08/04/2003 09:10:42","14/10/2005 01:36:25","True","NONE","1"
"16390","db_datareader","DATABASE_ROLE","","08/04/2003 09:10:42","14/10/2005 01:36:25","True","NONE","1"
"16391","db_datawriter","DATABASE_ROLE","","08/04/2003 09:10:42","14/10/2005 01:36:25","True","NONE","1"
"16387","db_ddladmin","DATABASE_ROLE","","08/04/2003 09:10:42","14/10/2005 01:36:25","True","NONE","1"
"16392","db_denydatareader","DATABASE_ROLE","","08/04/2003 09:10:42","14/10/2005 01:36:25","True","NONE","1"
"16393","db_denydatawriter","DATABASE_ROLE","","08/04/2003 09:10:42","14/10/2005 01:36:25","True","NONE","1"
"16384","db_owner","DATABASE_ROLE","","08/04/2003 09:10:42","14/10/2005 01:36:25","True","NONE","1"
"16386","db_securityadmin","DATABASE_ROLE","","08/04/2003 09:10:42","14/10/2005 01:36:25","True","NONE","1"
"0","public","DATABASE_ROLE","","08/04/2003 09:10:42","14/10/2005 01:36:25","False","NONE","1"
"5","crm","SQL_USER","dbo","13/12/2011 10:33:36","13/12/2011 10:33:36","False","INSTANCE",""
"7","CRM_Leitura","SQL_USER","dbo","05/05/2023 14:19:38","05/05/2023 14:19:38","False","INSTANCE",""
"6","geosiga","SQL_USER","dbo","18/12/2013 10:55:01","18/12/2013 10:55:01","False","INSTANCE",""
"2","guest","SQL_USER","guest","08/04/2003 09:10:42","08/04/2003 09:10:42","False","NONE",""
"3","INFORMATION_SCHEMA","SQL_USER","","14/10/2005 01:36:18","14/10/2005 01:36:18","False","NONE",""
"9","matheus.admin","SQL_USER","dbo","30/01/2025 13:34:38","30/01/2025 13:34:38","False","INSTANCE",""
"8","steq_bi","SQL_USER","dbo","27/05/2024 20:49:00","27/05/2024 20:49:00","False","INSTANCE",""
"4","sys","SQL_USER","","14/10/2005 01:36:18","14/10/2005 01:36:18","False","NONE",""
"1","dbo","WINDOWS_USER","dbo","08/04/2003 09:10:42","13/12/2011 10:26:58","False","WINDOWS",""
