"tabela","linhas_agora","linhas_snapshot","delta","pct"
"GE_Log2","4591737","4394779","196958","4,5"
"GEP_JobAgdExecLog","1092904","981319","111585","11,4"
"IV_AgendaLog","11143876","11049475","94401","0,9"
"GEP_SyncUsrSat","3970706","3901359","69347","1,8"
"IMP_Titulo","892131","823952","68179","8,3"
"IV_Historico","2485762","2436127","49635","2"
"GE_LOG_PROCESSO","12714111","12678640","35471","0,3"
"IV_Agenda","966941","931989","34952","3,8"
"GE_LOG_HISTORICO","1048114","1015045","33069","3,3"
"GE_LOG_TRANS","803647","782089","21558","2,8"
"GE_LOG_PESSOA","961628","943712","17916","1,9"
"X_T_IMP_CRM_TITULO","479271","462391","16880","3,7"
"IV_ProcDado","1532670","1516214","16456","1,1"
"IV_Processo","1190768","1174932","15836","1,3"
"IV_ProcStatMonit","865629","850022","15607","1,8"
"GEP_EMAILSENT","586458","571866","14592","2,6"
"IV_ProcFaseMonit","666855","655144","11711","1,8"
"DMN_DocHst","189651","183667","5984","3,3"
"IV_STATUS_DEPTO","477344","473844","3500","0,7"
"IV_ProcPerspMonit","129453","126145","3308","2,6"
"IV_ProcDocto","76693","73646","3047","4,1"
"DMN_DocPes","76610","73576","3034","4,1"
"DMN_Doc","71488","68609","2879","4,2"
"GE_PessoaFonema","458635","455993","2642","0,6"
"IV_Questionario","88017","85393","2624","3,1"
"GE_LOG_CONFIG","110308","108492","1816","1,7"
"IMP_REL_TBA101_PG2","1558","208","1350","649"
"IV_ProcProduto","63675","62578","1097","1,8"
"GE_PessoaNomeFonema","152610","151583","1027","0,7"
"GE_PessoaFone","113612","112659","953","0,8"
"GE_Pessoa","119345","118463","882","0,7"
"GEP_ImportTry","2631","1870","761","40,7"
"GEP_JOBFILALOG","14704","14038","666","4,7"
"GE_Email","39402","38765","637","1,6"
"IV_Q_VENDA_SEMINOVO","3072","2481","591","23,8"
"GEP_ImportAprovacao","4875","4284","591","13,8"
"IV_Q_ACOMP_VENDA_FINANC","2605","2021","584","28,9"
"GE_LOG_EXT","622641","622075","566","0,1"
"EXT_Pessoa","58204","57682","522","0,9"
"GE_PessoaLink","33353","32831","522","1,6"
"IV_Ciencia","173996","173477","519","0,3"
"IVS_Pes","139065","138584","481","0,3"
"IV_Q_VENDA_EQUIPAMENTO","2715","2256","459","20,3"
