"tabela","coluna_data","ano","linhas"
"IV_Processo","DtaInclusao","2012","44613"
"IV_Processo","DtaInclusao","2013","45414"
"IV_Processo","DtaInclusao","2014","51037"
"IV_Processo","DtaInclusao","2015","43497"
"IV_Processo","DtaInclusao","2016","52285"
"IV_Processo","DtaInclusao","2017","69069"
"IV_Processo","DtaInclusao","2018","92779"
"IV_Processo","DtaInclusao","2019","96438"
"IV_Processo","DtaInclusao","2020","104984"
"IV_Processo","DtaInclusao","2021","108373"
"IV_Processo","DtaInclusao","2022","72142"
"IV_Processo","DtaInclusao","2023","143034"
"IV_Processo","DtaInclusao","2024","114846"
"IV_Processo","DtaInclusao","2025","101335"
"IV_Processo","DtaInclusao","2026","47771"
"IV_Historico","DTAINCLUSAO","2023","124937"
"IV_Historico","DTAINCLUSAO","2024","160115"
"IV_Historico","DTAINCLUSAO","2025","273734"
"IV_Historico","DTAINCLUSAO","2026","126731"
"IV_Agenda","DtaRealizacao","2016","17989"
"IV_Agenda","DtaRealizacao","2017","32857"
"IV_Agenda","DtaRealizacao","2018","67055"
"IV_Agenda","DtaRealizacao","2019","70266"
"IV_Agenda","DtaRealizacao","2020","110307"
"IV_Agenda","DtaRealizacao","2021","113567"
"IV_Agenda","DtaRealizacao","2022","84496"
"IV_Agenda","DtaRealizacao","2023","102582"
"IV_Agenda","DtaRealizacao","2024","71196"
"IV_Agenda","DtaRealizacao","2025","178170"
"IV_Agenda","DtaRealizacao","2026","82756"
"IV_Questionario","DtaRealizacao","2012","3136"
"IV_Questionario","DtaRealizacao","2013","2789"
"IV_Questionario","DtaRealizacao","2014","1804"
"IV_Questionario","DtaRealizacao","2015","2558"
"IV_Questionario","DtaRealizacao","2016","3286"
"IV_Questionario","DtaRealizacao","2017","3660"
"IV_Questionario","DtaRealizacao","2018","4841"
"IV_Questionario","DtaRealizacao","2019","4346"
"IV_Questionario","DtaRealizacao","2020","6691"
"IV_Questionario","DtaRealizacao","2021","5763"
"IV_Questionario","DtaRealizacao","2022","5837"
"IV_Questionario","DtaRealizacao","2023","7209"
"IV_Questionario","DtaRealizacao","2024","3374"
"IV_Questionario","DtaRealizacao","2025","25633"
"IV_Questionario","DtaRealizacao","2026","7089"
"GE_Pessoa","DtaInclusao","2011","9873"
"GE_Pessoa","DtaInclusao","2012","26017"
"GE_Pessoa","DtaInclusao","2013","474"
"GE_Pessoa","DtaInclusao","2014","463"
"GE_Pessoa","DtaInclusao","2015","21251"
"GE_Pessoa","DtaInclusao","2016","455"
"GE_Pessoa","DtaInclusao","2017","9780"
"GE_Pessoa","DtaInclusao","2018","9625"
"GE_Pessoa","DtaInclusao","2019","1769"
"GE_Pessoa","DtaInclusao","2020","1479"
"GE_Pessoa","DtaInclusao","2021","1205"
"GE_Pessoa","DtaInclusao","2022","1174"
"GE_Pessoa","DtaInclusao","2023","1018"
"GE_Pessoa","DtaInclusao","2024","27258"
"GE_Pessoa","DtaInclusao","2025","2842"
"GE_Pessoa","DtaInclusao","2026","2510"
"EXT_NFS","DtaEmissaoNF","2017","40900"
"EXT_NFS","DtaEmissaoNF","2018","43183"
"EXT_NFS","DtaEmissaoNF","2019","46995"
"EXT_NFS","DtaEmissaoNF","2020","43509"
"EXT_NFS","DtaEmissaoNF","2021","41753"
"EXT_NFS","DtaEmissaoNF","2022","22133"
"EXT_NFS","DtaEmissaoNF","2023","76109"
"EXT_NFS","DtaEmissaoNF","2024","61732"
"EXT_NFS","DtaEmissaoNF","2025","14441"
"EXT_OS","DtaAlteracao","2021","2105"
"EXT_OS","DtaAlteracao","2022","1568"
"EXT_OS","DtaAlteracao","2023","2291"
"EXT_OS","DtaAlteracao","2024","2135"
"EXT_Titulo","DtaEmissao","2015","351"
"EXT_Titulo","DtaEmissao","2016","5833"
"EXT_Titulo","DtaEmissao","2017","59081"
"EXT_Titulo","DtaEmissao","2018","64252"
"EXT_Titulo","DtaEmissao","2019","70990"
"EXT_Titulo","DtaEmissao","2020","71507"
"EXT_Titulo","DtaEmissao","2021","66447"
"EXT_Titulo","DtaEmissao","2022","66632"
"EXT_Titulo","DtaEmissao","2023","69179"
"EXT_Titulo","DtaEmissao","2024","73702"
"EXT_Titulo","DtaEmissao","2025","29951"
"EXT_Veic","DtaAlteracao","2017","332"
"EXT_Veic","DtaAlteracao","2018","1802"
"EXT_Veic","DtaAlteracao","2019","1602"
"EXT_Veic","DtaAlteracao","2020","1829"
"EXT_Veic","DtaAlteracao","2021","1470"
"EXT_Veic","DtaAlteracao","2022","239"
"EXT_Veic","DtaAlteracao","2023","444"
"EXT_Veic","DtaAlteracao","2024","302"
"GE_LOG_PROCESSO","DTALOG","2023","2601787"
"GE_LOG_PROCESSO","DTALOG","2024","6688755"
"GE_LOG_PROCESSO","DTALOG","2025","3346795"
"GE_LOG_PROCESSO","DTALOG","2026","76774"
"GE_LgTb","DtaLog","2018","74890"
"GE_LgTb","DtaLog","2019","2402291"
"GE_LgTb","DtaLog","2020","2300483"
"GE_LgTb","DtaLog","2021","1785117"
"GE_LgTb","DtaLog","2022","2894935"
"GE_LgTb","DtaLog","2023","2404061"
"DMN_Doc","DtaBase","2000","1"
"DMN_Doc","DtaBase","2016","49"
"DMN_Doc","DtaBase","2017","297"
"DMN_Doc","DtaBase","2018","301"
"DMN_Doc","DtaBase","2019","22"
