"tabela","linhas"
"GE_LOG_PROCESSO","12714111"
"GE_LgTb","11861777"
"IV_AgendaLog","11143876"
"GE_Log2","4591737"
"EXT_VeicModelo","4431168"
"GEP_SyncUsrSat","3970706"
"EXT_VeicPlanoMan","3571257"
"EXT_VeicModPlano","3571235"
"IV_Historico","2485762"
"IV_ProcDado","1532670"
"EXT_NFSItem","1300126"
"IV_Processo","1190768"
"EXT_TituloMov","1134039"
"GEP_JobAgdExecLog","1092904"
"GE_LOG_HISTORICO","1048114"
"IV_Agenda","966941"
"GE_LOG_PESSOA","961628"
"IMP_Titulo","892131"
"IV_ProcStatMonit","865629"
"X_V_IMP_CRM_IMP_NF","815854"
"X_TOTVS_CRM_FATURAMENTO","809821"
"GE_LOG_TRANS","803647"
"IV_Interacao","720525"
"IV_ProcFaseMonit","666855"
"IV_HistLink","645850"
"GE_LOG_EXT","622641"
"IV_ProcLink","602150"
"GEP_EMAILSENT","586458"
"IV_SelecaoPessoa","581059"
"EXT_Titulo","577925"
"GEP_Import_bkpjun","502009"
"X_T_IMP_CRM_TITULO","479271"
"IV_STATUS_DEPTO","477344"
"GE_PessoaFonema","458635"
"X_V_IMP_CRM_IMP_NF_BKP_18_09_2023","415762"
"X_TOTVS_BI_FATURAMENTO_POS_VENDAS","407100"
"IMP_OSITEM","399040"
"EXT_NFS","390755"
"IV_CbrCobrancaTitLog","304684"
"IMP_OS","287868"
"IV_ClientePropr","246938"
"J1_PRODUTO","211292"
"DMN_DocHst","189651"
"EXT_OSITEM","182238"
"IV_Ciencia","173996"
"IV_CBRTITULOHST","173530"
"IV_ClientePropr_ITA","157900"
"IV_CbrCobrancaTit","155204"
"GE_PessoaNomeFonema","152610"
"GE_PessoaMural","145313"
"IVS_Pes","139065"
"IVS_PES_NELSON","134872"
"IV_ProcPerspMonit","129453"
"IV_CBRCRITMON","128167"
"GE_PessoaSimilar","124222"
"X_T_IMP_CRM_TITULO_bkp_11_04","121381"
"GE_Pessoa","119345"
"GE_PessoaFone","113612"
"GE_LOG_CONFIG","110308"
"EXT_Titulo_bkp_11_04","108061"
"IV_HistoricoNota","94333"
"GE_PessoaLink_bkpago22","92068"
"GE_PessoaLink_BKPJUN","90857"
"GE_Pessoa_BKPJUN","88142"
"IV_Questionario","88017"
"EXT_Produto","78749"
"IV_ProcDocto","76693"
"DMN_DocPes","76610"
"DMN_Doc","71488"
"GE_PessoaFone_BKPJUN","69894"
"IMP_NFSItem","67404"
"IV_CbrCobranca","64449"
"IV_ProcProduto","63675"
"nfsaida$","62619"
"IV_ProcRef","61975"
"GE_PessoaLinkbkp","58741"
"EXT_Pessoa","58204"
"GE_ContatoPapel","43663"
"GE_PessoaFone_ITA","42594"
"GE_Contato","41282"
"GE_Email","39402"
"GE_UsuarioPerm","38684"
"GE_ContatoPapel_BKPJUN","35413"
"GE_PessoaLink","33353"
"GE_UsuarioPerm_BKPJUN","31120"
"GE_PessoaEndOutroBc","30943"
"GE_Pessoa_ITA","28377"
"mig_ge_pessoa_bkp","28084"
"GE_Contato_BKPJUN","28051"
"IV_SMSLog","27430"
"EXT_Pessoa_bkpago22","27280"
"IV_SMS","26749"
"GE_ModuloPerm","25218"
"GE_PessoaLink_ITA","24864"
"teste333","24024"
"IV_CbrCobrancaLote","21048"
"IMP_LINKPESSOA","20757"
"GE_LOG_CONTATO","19925"
"IMP_NFS","18378"
"IVS_Pes_RAO_Pneus_02_03","18261"
"EXT_VeicKM","17378"
"IV_HistInfo","17250"
"GE_UsrParam","17043"
"EXT_Titulo_BKP_22_03_2023_BAIXADOS","16705"
"IVS_TGLCLICLIENT","16654"
"GEP_JOBFILALOG","14704"
"EXT_VeicProp","12621"
"GE_PessoaVersao","12021"
"IVS_TGLCLIFIS","11232"
"GE_Contato_ITA","10866"
"GE_Cidade","10214"
"GE_Cidade_BKPJUN","9966"
"ww","8991"
"EXT_OS","8099"
"EXT_Veic","8020"
