"tabela","indice","tipo_indice","reservado_kb","usado_kb","dados_kb","linhas"
"GE_LOG_PROCESSO","PK__GE_LOG_P__3765F658B450BAF7","CLUSTERED","3379528","3378896","3362088","12714111"
"IV_AgendaLog","PK__IV_Agend__3765F6589FEDCFFC","CLUSTERED","2833928","2833448","2819584","11143876"
"GE_LgTb","PK__GE_LgTb__3765F65882301789","CLUSTERED","2562736","2562536","2556024","11861777"
"IV_Historico","PK__IV_Historico__16300F6F","CLUSTERED","1018184","1018032","1014960","2485762"
"GE_LOG_PROCESSO","GE_LG_PRCIE3_3","NONCLUSTERED","834504","834184","824768","12714111"
"GE_Log2","PK__GE_Log2__017D4447051D4F7B","CLUSTERED","786120","785840","783128","4591737"
"GEP_SyncUsrSat","PK__GEP_Sync__7412625419799C95","CLUSTERED","711304","701496","695648","3970706"
"GE_LgTb","GE_LgTbIE1","NONCLUSTERED","577432","577280","573968","11861777"
"GEP_SyncUsrSat","GEP_SyncUsrSatIE1","NONCLUSTERED","570056","429800","419392","4838103"
"GEP_SyncUsrSat","NonClusteredIndex-20190205-100126","NONCLUSTERED","566984","550024","541016","3970717"
"GE_LOG_PROCESSO","GE_LG_PRC_IE1_3","NONCLUSTERED","564168","563864","559632","12714111"
"GEP_SyncUsrSat","IDX_GEP_SYNC_IE4","NONCLUSTERED","523080","370224","361944","4466865"
"GEP_SyncUsrSat","IDX_GEPSYNCUSRSAT_1","NONCLUSTERED","493192","396160","390480","4171088"
"X_TOTVS_CRM_FATURAMENTO","X_TOTVS_CRM_FATURAMENTO_PK","CLUSTERED","492424","475256","461000","809821"
"X_TOTVS_CRM_FATURAMENTO","X_TOTVS_CRM_FATURAMENTO_SUGES_01","NONCLUSTERED","485192","454176","450896","809821"
"IV_Processo","PK__IV_Processo__284EBFAA","CLUSTERED","474496","474256","473064","1190768"
"GE_LgTb","GE_LgTbIE2","NONCLUSTERED","473688","473560","471168","11861777"
"GEP_EMAILSENT","PK__GEP_EMAI__493CB61010EE67E7","CLUSTERED","467024","466168","193000","1172916"
"GE_LgTb","GE_LGTBIE3","NONCLUSTERED","447720","447664","445024","11861777"
"IV_Agenda","PK__IV_Agenda__6A518D31","CLUSTERED","440008","439792","438208","966941"
"GE_LOG_PROCESSO","GE_LG_PRCIE2_3","NONCLUSTERED","419656","419352","415328","12714111"
"IMP_Titulo","PK__IMP_Titu__A3113E5716634512","CLUSTERED","407768","403464","401304","892131"
"GEP_SyncUsrSat","gep_syncusrsat_dedup","NONCLUSTERED","390592","388928","384176","3970706"
"GEP_SyncUsrSat","GEP_SYNCUSRSATIE4","NONCLUSTERED","388104","284424","279960","4161294"
"X_TOTVS_CRM_FATURAMENTO","X_TOTVS_CRM_FATURAMENTO_SUGES_02","NONCLUSTERED","370760","358072","355728","809821"
"IV_ProcDado","PK__IV_ProcDado__26667738","CLUSTERED","360776","360528","359384","1532670"
"GEP_SyncUsrSat","NonClusteredIndex-20190205-095930","NONCLUSTERED","353480","279136","275128","3971625"
