"tabela","linhas","coluna_data","ultima_data","primeira_data","situacao","segundos"
"IV_Q_ACOMPANHAM_VENDA_IMP","3308","DATA_PREV_FATURAM","3201-02-12","2011-10-31","viva","0,1"
"IV_Q_OS_ABERTA","771","DATA_ABERTURA_OS","3035-09-03","2024-04-23","viva","0,1"
"GEP_JOBFILA","25","DtaExecucao","2999-07-30","2026-08-23","viva","0,1"
"GEP_JOBAGD","25","DtaInicio","2999-07-30","2020-02-07","viva","0,1"
"IV_Q_GAR_DATA_SERVICO","4888","INICIO_SERVICO","2925-09-26","2020-04-13","viva","0,1"
"IV_Q_OS_GARANTIA","7786","DATA_ABERTURA_OS","2924-12-19","2002-07-03","viva","0,1"
"IV_Interacao","720525","DtaAgenda","2314-01-22","2012-09-26","viva","0,1"
"IV_Q_VENDA_PERDIDA_JDE","296","DATA_DA_VENDA","2104-12-13","2010-01-11","viva","0,1"
"IV_Q_VENDA_PERDIDA","1511","DATA_DA_VENDA","2104-12-13","2007-01-13","viva","0,1"
"IV_Q_CHEGADA_IMPLEMENTO","61","DTA_CHEGADA_IMPL","2044-03-28","2001-11-27","viva","0,1"
"IV_Q_GESTAO_CREDITO","1506","DATA_SINAL","2028-08-28","2003-12-30","viva","0,1"
"IV_Q_VENDA_EQUIPAMENTO","2715","VENDA_DATA_PEDIDO","2027-10-27","2025-01-06","viva","0,1"
"IV_Q_DEMONSTRACAO_JD","252","DATA_DEMONSTRACAO","2027-09-20","1958-08-28","viva","0,1"
"IV_Q_RETORNADO_JD","773","DATA_RETORNO","2027-07-29","2024-06-11","viva","0,1"
"IV_Q_PEDIDO_KAM","14","DATA_VENCIMENTO_SINA","2026-09-15","2025-10-10","viva","0,1"
"GE_EMAILAGD","2","DTAINICIO","2026-09-03","2026-09-03","viva","0,1"
"GEP_JOBFILALOG","14704","DtaExecucao","2026-09-03","2015-02-26","viva","0,1"
"GE_LOG_PESSOA","961628","DTALOG","2026-09-02","2018-12-24","viva","0,1"
"IV_ProcDocto","76693","DtaInclusao","2026-09-02","2014-09-12","viva","0,1"
"IV_Processo","1190768","DtaInclusao","2026-09-02","2012-01-02","viva","0,2"
"GE_LOG_EXT","622641","DTALOG","2026-09-02","2023-06-06","viva","0,1"
"GE_LOG_HISTORICO","1048114","DTALOG","2026-09-02","2018-12-24","viva","0,1"
"GE_ParametroGlobal","239","Dtaalteracao","2026-09-02","2011-12-19","viva","0,1"
"IV_Questionario","88017","DtaRealizacao","2026-09-02","2012-01-10","viva","0,1"
"GE_Usuario","1388","DTAINCLUSAO","2026-09-02","2025-02-17","viva","0,1"
"IV_ProcDado","1532670","DtaUltResultado","2026-09-02","1961-11-24","viva","0,2"
"GE_UsrParam","17043","Dtaalteracao","2026-09-02","2011-12-19","viva","0,1"
"IV_ProcFaseMonit","666855","DtaInicio","2026-09-02","1961-11-24","viva","0,1"
"GE_Log2","4591737","Data","2026-09-02","2011-12-19","viva","0,1"
"GE_LOG_TRANS","803647","DTALOG","2026-09-02","2023-06-06","viva","0,1"
"GE_Email","39402","DtaAlteracao","2026-09-02","2014-09-19","viva","0,1"
"GE_PessoaClasse","1909","Dtaalteracao","2026-09-02","2015-07-03","viva","0,1"
"GE_Pessoa","119345","DtaInclusao","2026-09-02","2011-12-20","viva","0,1"
"IV_ProcStatMonit","865629","DtaMonit","2026-09-02","1961-11-24","viva","0,3"
"IV_ProcPerspMonit","129453","DtaMonit","2026-09-02","2012-01-02","viva","0,1"
"GE_PessoaLink","33353","DtaGeracao","2026-09-02","2014-08-18","viva","0,1"
"GE_LOG_CONFIG","110308","DTALOG","2026-09-02","2018-12-26","viva","0,1"
"GE_PessoaFone","113612","DTAINCLUSAO","2026-09-02","2019-12-10","viva","0,2"
"IVS_Pes","139065","DtaInclusao","2026-09-02","2015-07-23","viva","0,1"
"GEP_JobAgdExecLog","1092904","DtaExecucao","2026-09-02","2017-01-16","viva","0,1"
"GEP_SyncUsrSat","3970706","DtaGeracao","2026-09-02","2025-02-18","viva","0,2"
"GEP_JobMonitor","2","Inicio","2026-09-02","2025-09-18","viva","0,1"
"GEP_ImportTry","2631","DtaLimiteTentativa","2026-09-02","2012-05-31","viva","0,1"
"IV_VENDEDOREMPR","940","DtaAlteracao","2026-09-02","2014-10-02","viva","0,1"
"EXT_Pessoa","58204","DtaInclusao","2026-09-02","2018-02-02","viva","0,1"
"DMN_Doc","71488","DtaBase","2026-09-02","2000-01-01","viva","0,1"
"IV_AcaoCtrl","44","DtaProxExec","2026-09-02","2026-09-02","viva","0,1"
"IV_Agenda","966941","DtaRealizacao","2026-09-02","2016-04-19","viva","0,1"
"DMN_DocHst","189651","DtaMovto","2026-09-02","2014-09-22","viva","0,1"
"DMN_DocPes","76610","DtaInclusao","2026-09-02","2014-09-12","viva","0,1"
"IV_ClientePropr","246938","DtaInclusao","2026-09-02","2008-11-07","viva","0,1"
"GEP_UsrSat","71","DtaInicioRec","2026-09-02","2020-11-23","viva","0,1"
"IV_Ciencia","173996","DtaLeitura","2026-09-02","2012-01-06","viva","0,1"
"EXT_APROVACAO","2669","DTAGERACAO","2026-09-02","2025-07-02","viva","0,1"
"IV_USRSTATUS","183","DTAATUALIZACAO","2026-09-02","2025-02-18","viva","0,1"
"GEP_EMAILSENT","586458","DTAENVIO","2026-09-02","2019-02-05","viva","0,1"
"IV_Historico","2485762","DTAINCLUSAO","2026-09-02","2023-06-05","viva","0,2"
"IV_Resultado","4209","DtaInclusao","2026-09-02","2011-11-11","viva","0,1"
"GEP_Fila","81","DtaExecucao","2026-09-02","2026-09-02","viva","0,1"
"GEP_Import","743","DtaGeracao","2026-09-02","2025-04-30","viva","0,1"
"IV_OcrmAgd","16","DtaEnvio","2026-09-02","2025-07-17","viva","0,1"
"GEP_ImportAprovacao","4875","DtaGeracao","2026-09-02","2025-07-15","viva","0,1"
"GE_ParamLista","405","DtaAlteracao","2026-09-01","2012-01-02","viva","0,1"
"IV_Q_VENDA_PERDIDA_FY25","247","VP_DATA_VP","2026-09-01","2025-07-11","viva","0,1"
"GE_Contato","41282","DTAINCLUSAO","2026-09-01","2023-06-06","viva","0,1"
"IV_STATUS_DEPTO","477344","ULTCOMPRA","2026-09-01","2012-01-04","viva","0,2"
"GE_LOG_CONTATO","19925","DTALOG","2026-08-31","2018-12-26","viva","0,1"
"GE_ContatoPapel","43663","DtaAlteracao","2026-08-31","2011-01-27","viva","0,1"
"IV_GlobalPar","3403","DtaAlteracao","2026-08-31","2011-11-18","viva","0,1"
"OUT_Log","1766","DtaIns","2026-08-30","2014-08-12","viva","0,1"
"GE_UsuarioSenhaMem","2490","DtaTroca","2026-08-28","2013-09-25","viva","0,1"
"GE_ObjDinamico","196","DtaAlteracao","2026-08-28","2012-12-09","viva","0,1"
"EXT_CONDPAGTO","22","DTAGERACAO","2026-08-25","2025-09-16","viva","0,1"
"IV_Selecao","550","DtaAlteracao","2026-08-25","2012-01-03","viva","0,1"
"IV_Q_LIBERAR_DEMONSTRACAO","65","DATA_IDA","2026-08-24","2026-02-02","viva","0,1"
"IV_Q_COTA_CONSORCIO","81","CONSORCIO_DATA","2026-08-24","2025-08-05","viva","0,1"
"IV_Q_VP_SEM_PARTICIPACAO","94","DATA_VP","2026-08-21","2025-05-05","viva","0,1"
"IVS_CartCid","673","DtaAlteracao","2026-08-20","2013-03-01","viva","0,1"
"GE_PessoaRelacao","5601","DtaAlteracao","2026-08-20","2012-01-05","viva","0,1"
"IVS_CartDepto","206","DtaAlteracao","2026-08-19","2012-01-02","viva","0,1"
"IVS_Carteira","655","DTAINCLUSAO","2026-08-19","2025-02-20","viva","0,1"
"GE_QVCons","134","UltAtualizacao","2026-08-18","1999-12-31","viva","0,1"
"IV_Acao","980","DtaInclusao","2026-08-14","2011-11-11","viva","0,1"
"IV_Q_ACOMP_VENDA_FINANC","2605","DATA_PROPOSTA","2026-08-12","2025-01-09","viva","0,1"
"IMP_REL_TBA101_PG2","1558","DATA_PEDIDO_HIST_D","2026-07-27","2025-07-21","viva","0,1"
"EXT_AGUARDENTREGA","52","DTAGERACAO","2026-07-16","2025-09-16","viva","0,1"
"IV_ConhecLeitura","50","DtaUltAcesso","2026-07-16","2012-01-12","viva","0,1"
"X_T_IMP_CRM_TITULO","479271","DtaEmissao","2026-07-13","2021-08-02","viva","0,1"
"IMP_Titulo","892131","DtaEmissao","2026-07-13","2021-08-09","viva","0,1"
"GE_PessoaVersao","12021","DtaAtualizacao","2026-07-07","2011-12-21","viva","0,1"
"IV_ResMsgPapel","1338","DtaInclusao","2026-05-27","2012-02-16","fria (>90 dias)","0,1"
"GE_PolSegCtrl","254","DtaAlteracao","2026-05-21","2013-03-25","fria (>90 dias)","0,1"
"GE_CtrlE","16","Datu","2026-04-29","2026-04-29","fria (>90 dias)","0,1"
"GE_CtrlME","36","Datu","2026-04-29","2026-04-29","fria (>90 dias)","0,1"
"GE_CtrlM","31","Datu","2026-04-29","2026-04-29","fria (>90 dias)","0,1"
"GE_Mod","32","Datu","2026-04-29","2026-04-29","fria (>90 dias)","0,1"
"IV_Campanha","179","DtaInclusao","2026-04-27","2012-04-30","fria (>90 dias)","0,1"
"GEP_ParRecebe","14","DtaAlteracao","2026-04-20","2018-11-21","fria (>90 dias)","0,1"
"IV_Evento","132","DtaAlteracao","2026-03-20","2012-05-29","fria (>90 dias)","0,1"
"IVS_DeptoRes","63","DtaAlteracao","2026-03-05","2018-03-19","fria (>90 dias)","0,1"
"IV_TxtPadrao","212","DtaInclusao","2026-02-18","2012-01-13","fria (>90 dias)","0,2"
"IV_Q_ABERTURA_OS_REVISAO","10","DATA_ABERTURA","2026-02-10","2024-10-14","fria (>90 dias)","0,1"
"GE_AtributoFixo","183","DtaAlteracao","2026-02-03","2013-03-24","fria (>90 dias)","0,1"
"IV_Q_OFERECE_RENOV_SEGURO","975","DATA_VENCTO_PRIMEIRA","2026-01-30","2025-05-16","fria (>90 dias)","0,1"
"IV_Q_VENDA","2806","DATA_PEDIDO_DE_VENDA","2025-12-20","2023-03-01","fria (>90 dias)","0,1"
"IV_OPTEMAIL","21","DTAALTERACAO","2025-12-09","2019-06-04","fria (>90 dias)","0,1"
"GEP_ParEnvia","3","DtaAlteracao","2025-12-02","2021-07-30","fria (>90 dias)","0,1"
"IV_GlobalParCtrl","48","DtaAlteracao","2025-10-29","2012-01-05","fria (>90 dias)","0,1"
"IV_Q_APROVACAO_TCSM","27","DATA_RETORNO_TCSM","2025-10-15","2024-12-04","fria (>90 dias)","0,1"
"IV_OPTFONE","2","DTAALTERACAO","2025-10-01","2019-05-31","fria (>90 dias)","0,1"
"IV_Q_REV_DATA_SERVICO","74","DATA_INICIO_SERVICO","2025-09-15","2023-01-30","fria (>90 dias)","0,1"
"GE_PessoaSimilar","124222","DtaGeracao","2025-09-12","2012-10-17","fria (>90 dias)","0,1"
"IV_Q_DEMO_MAQUINAS","109","DATA_IDEAL","2025-08-12","2021-03-01","PARADA (>1 ano)","0,1"
"IVS_PES_NELSON","134872","dtaultctto","2025-08-07","2012-03-22","PARADA (>1 ano)","0,1"
"IV_Q_OS_CORTESIA","78","DATA_ABERTURA_OS","2025-08-04","2024-09-04","PARADA (>1 ano)","0,1"
"IV_Q_VENDA_PERDIDA_MAQIMP","313","DATA_VENDA_VP","2025-07-31","2024-01-18","PARADA (>1 ano)","0,1"
"IV_Processo_bkp20250717","1","DtaInclusao","2025-07-17","2025-07-17","PARADA (>1 ano)","0,1"
"IV_Q_SOLICITACAO_TCAT","1","TCAT_DATA_SINISTRO","2025-06-10","2025-06-10","PARADA (>1 ano)","0,1"
"EXT_Titulo","577925","DtaEmissao","2025-05-21","2015-01-09","PARADA (>1 ano)","0,1"
"IV_CbrCobrancaLote","21048","DtaGeracao","2025-05-21","2017-09-22","PARADA (>1 ano)","0,1"
"IV_CbrCobrancaTitLog","304684","DtaLog","2025-05-21","2017-09-27","PARADA (>1 ano)","0,2"
"IV_CBRCRITMON","128167","DTAANALISE","2025-05-21","2020-11-16","PARADA (>1 ano)","0,1"
"IV_CbrCobrancaTit","155204","DtaInclusao","2025-05-21","2017-09-27","PARADA (>1 ano)","0,1"
"IVS_DEPTOPOT","126","DTAALTERACAO","2025-05-20","2023-06-05","PARADA (>1 ano)","0,1"
"GE_Usuario_BKP20250520","1302","DTAINCLUSAO","2025-05-19","2025-02-17","PARADA (>1 ano)","0,1"
"EXT_Produto","78749","Dtaimport","2025-04-14","2017-02-22","PARADA (>1 ano)","0,1"
"EXT_NFS","390755","DtaEmissaoNF","2025-04-11","2017-01-04","PARADA (>1 ano)","0,1"
"X_V_IMP_CRM_IMP_NF","815854","X_DATA_INTEGRACAO","2025-04-11","2023-10-03","PARADA (>1 ano)","0,1"
"IMP_NFS","18378","Dtaemissaonf","2025-04-11","2023-01-02","PARADA (>1 ano)","0,1"
"IMP_NFSItem","67404","DtaGeracao","2025-04-11","2023-09-18","PARADA (>1 ano)","0,1"
"X_TOTVS_CRM_FATURAMENTO","809821","DATA_EMISSAO_NF","2025-04-11","2021-08-01","PARADA (>1 ano)","0,1"
"GE_QVConsHst","69","Dta","2025-04-10","2012-10-15","PARADA (>1 ano)","0,1"
"IV_Q_REVISAO_450_600H","1","DATA_INICIO_REV_600H","2025-03-01","2025-03-01","PARADA (>1 ano)","0,1"
"GEP_IMPORT_GUI","52","DtaGeracao","2025-02-25","2025-02-19","PARADA (>1 ano)","0,1"
"IV_Q_REVISAO_100H","1","DATA_INICIO_REV_100H","2025-02-21","2025-02-21","PARADA (>1 ano)","0,1"
"GE_CTRLUSR","33","DATU","2025-02-03","2025-02-03","PARADA (>1 ano)","0,1"
